,product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
352,369,Fence Slats PVT,fence-slats-pvt,,,,AFCFS,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-25 12:52:54,2010-03-25 12:52:54,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
353,370,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-white,,,White,PVT4WH,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,,,,46.0,50,-4,,0.0,,,,,,0.0,1.0,2010-03-25 13:22:04,2010-03-25 13:22:04,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
356,373,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-light-blue,,,Light Blue,PVT4LB,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-25 14:39:54,2010-03-25 14:39:54,0000-00-00,,,,,,12,12,49,,,,,Testing,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
357,374,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-black,,,Black,PVT4BK,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,36.0,50,-14,,0.0,,,,,,0.0,1.0,2010-03-25 14:42:56,2010-03-25 14:42:56,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
358,375,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-brown,,,Brown,PVT4BR,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,47.0,50,-3,,0.0,,,,,,0.0,1.0,2010-03-25 14:47:10,2010-03-25 14:47:10,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
359,376,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-green,,,Green,PVT4GR,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,8.0,30,-22,,0.0,,,,,,0.0,1.0,2010-03-25 14:52:07,2010-03-25 14:52:07,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
360,377,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-tan,,,Tan,PVT4TN,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,59.0,50,9,,0.0,,,,,,0.0,1.0,2010-03-25 14:55:27,2010-03-25 14:55:27,2012-07-20,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
361,378,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-gray,,,Gray,PVT4G,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-25 15:07:59,2010-03-25 15:07:59,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
380,397,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-3/32in-redwood,,,Redwood,PVT4RW,0.0,AFCFS4,,30.62,20.5,30.0,0.0,0.0,10.0,1,4ft H for 2in Mesh,6,6,48,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-26 07:10:50,2010-03-26 07:10:50,2012-08-10,,,,,,12,12,49,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
384,401,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-green,,,Green,PVT5GR,0.0,AFCFS5,,25.5,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,6,,18.0,50,-32,,0.0,,,,,,0.0,1.0,2010-03-26 07:21:37,2010-03-26 07:21:37,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
386,403,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-green,,,Green,PVT6GR,0.0,AFCFS6,,4.15,29.5,44.0,0.0,,15.0,1,6ft H for 2in Mesh ,,,,-29.0,100,-129,,0.0,,,,,,,0.0,2010-03-26 07:30:13,2014-04-03 17:02:17,2012-08-10,3.0,,,,,12,12,72,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
387,404,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-green,,Product not found: 404,Green,PVT7GR,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh ,6,6,84,5.0,0,5,,0.0,,,,,,0.0,1.0,2010-03-26 07:37:09,2010-03-26 07:37:09,2012-07-12,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
