original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,White,NULL
373,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Light Blue,NULL
374,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Black,NULL
375,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Brown,NULL
376,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Green,NULL
377,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Tan,NULL
378,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Gray,NULL
397,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Redwood,NULL
401,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Green,NULL
403,NULL,NULL,6ft H for 2in Mesh ,NULL,NULL,Top-Lock,NULL,NULL,NULL,Green,NULL
404,NULL,NULL,7ft H for 2in Mesh ,NULL,NULL,Top-Lock,NULL,NULL,NULL,Green,NULL
405,NULL,NULL,8ft H for 2in Mesh ,NULL,NULL,Top-Lock,NULL,NULL,NULL,Green,NULL
406,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Brown,NULL
407,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Brown,NULL
409,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Brown,NULL
411,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Brown,NULL
416,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Black,NULL
417,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Black,NULL
418,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Black,NULL
419,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Black,NULL
420,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Light Blue,NULL
444,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
445,NULL,NULL,NULL,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,NULL,NULL
446,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Brown,NULL
447,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Green,NULL
448,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Tan,NULL
449,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Redwood,NULL
450,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Gray,NULL
451,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Black,NULL
