original_product_id,product_id,product_name,item_no,price_per_unit,shippable,family_category_id,description
369,NULL,Fence Slats PVT,AFCFS,0.0,1,1,NULL
370,NULL,Top-Lock Fence Slats Inserts,PVT4WH,30.0,1,1,NULL
373,NULL,Top-Lock Fence Slats Inserts,PVT4LB,30.0,1,1,NULL
374,NULL,Top-Lock Fence Slats Inserts,PVT4BK,30.0,1,1,NULL
375,NULL,Top-Lock Fence Slats Inserts,PVT4BR,30.0,1,1,NULL
376,NULL,Top-Lock Fence Slats Inserts,PVT4GR,30.0,1,1,NULL
377,NULL,Top-Lock Fence Slats Inserts,PVT4TN,30.0,1,1,NULL
378,NULL,Top-Lock Fence Slats Inserts,PVT4G,30.0,1,1,NULL
397,NULL,Top-Lock Fence Slats Inserts,PVT4RW,30.0,1,1,NULL
401,NULL,Top-Lock Fence Slats Inserts,PVT5GR,38.0,1,1,NULL
403,NULL,Top-Lock Fence Slats Inserts,PVT6GR,44.0,1,1,NULL
404,NULL,Top-Lock Fence Slats Inserts,PVT7GR,62.0,1,1,NULL
405,NULL,Top-Lock Fence Slats Inserts,PVT8GR,62.0,1,1,NULL
406,NULL,Top-Lock Fence Slats Inserts,PVT5BR,38.0,1,1,NULL
407,NULL,Top-Lock Fence Slats Inserts,PVT6BR,44.0,1,1,NULL
409,NULL,Top-Lock Fence Slats Inserts,PVT7BR,62.0,1,1,NULL
411,NULL,Top-Lock Fence Slats Inserts,PVT8BR,62.0,1,1,NULL
416,NULL,Top-Lock Fence Slats Inserts,PVT5BK,38.0,1,1,NULL
417,NULL,Top-Lock Fence Slats Inserts,PVT6BK,44.0,1,1,NULL
418,NULL,Top-Lock Fence Slats Inserts,PVT7BK,62.0,1,1,NULL
419,NULL,Top-Lock Fence Slats Inserts,PVT8BK,62.0,1,1,NULL
420,NULL,Top-Lock Fence Slats Inserts,PVT5LB,38.0,1,1,NULL
444,NULL,Fence Slats Winged,AFCFSW,0.0,1,1,NULL
445,NULL,Fence Slats Hedge,AFCFSH,0.0,1,1,NULL
446,NULL,Winged Fence Slats Inserts,PVTW4BR,40.0,1,1,NULL
447,NULL,Winged Fence Slats Inserts,PVTW4GR,40.0,1,1,NULL
448,NULL,Winged Fence Slats Inserts,PVTW4TN,40.0,1,1,NULL
449,NULL,Winged Fence Slats Inserts,PVTW4RW,40.0,1,1,NULL
450,NULL,Winged Fence Slats Inserts,PVTW4G,40.0,1,1,NULL
451,NULL,Winged Fence Slats Inserts,PVTW4BK,40.0,1,1,NULL
452,NULL,Winged Fence Slats Inserts,PVTW4LB,40.0,1,1,NULL
453,NULL,Winged Fence Slats Inserts,PVTW5GR,48.0,1,1,NULL
454,NULL,Winged Fence Slats Inserts,PVTW5BR,48.0,1,1,NULL
455,NULL,Winged Fence Slats Inserts,PVTW5TN,48.0,1,1,NULL
456,NULL,Winged Fence Slats Inserts,PVTW5RW,48.0,1,1,NULL
457,NULL,Winged Fence Slats Inserts,PVTW5G,48.0,1,1,NULL
458,NULL,Winged Fence Slats Inserts,PVTW5BK,48.0,1,1,NULL
459,NULL,Winged Fence Slats Inserts,PVTW5LB,48.0,1,1,NULL
460,NULL,Winged Fence Slats Inserts,PVTW6GR,57.0,1,1,NULL
461,NULL,Winged Fence Slats Inserts,PVTW6BR,57.0,1,1,NULL
462,NULL,Winged Fence Slats Inserts,PVTW6TN,57.0,1,1,NULL
463,NULL,Winged Fence Slats Inserts,PVTW6RW,57.0,1,1,NULL
464,NULL,Winged Fence Slats Inserts,PVTW6G,57.0,1,1,NULL
465,NULL,Winged Fence Slats Inserts,PVTW6BK,57.0,1,1,NULL
466,NULL,Winged Fence Slats Inserts,PVTW6LB,57.0,1,1,NULL
467,NULL,Winged Fence Slats Inserts,PVTW7GR,78.0,1,1,NULL
468,NULL,Winged Fence Slats Inserts,PVTW7BR,78.0,1,1,NULL
469,NULL,Winged Fence Slats Inserts,PVTW7TN,78.0,1,1,NULL
470,NULL,Winged Fence Slats Inserts,PVTW7RW,78.0,1,1,NULL
471,NULL,Winged Fence Slats Inserts,PVTW7G,78.0,1,1,NULL
472,NULL,Winged Fence Slats Inserts,PVTW7BK,78.0,1,1,NULL
473,NULL,Winged Fence Slats Inserts,PVTW7LB,78.0,1,1,NULL
474,NULL,Winged Fence Slats Inserts,PVTW8GR,78.0,1,1,NULL
475,NULL,Winged Fence Slats Inserts,PVTW8BR,78.0,1,1,NULL
476,NULL,Winged Fence Slats Inserts,PVTW8TN,78.0,1,1,NULL
477,NULL,Winged Fence Slats Inserts,PVTW8RW,78.0,1,1,NULL
478,NULL,Winged Fence Slats Inserts,PVTW8G,78.0,1,1,NULL
479,NULL,Winged Fence Slats Inserts,PVTW8BK,78.0,1,1,NULL
480,NULL,Winged Fence Slats Inserts,PVTW8LB,78.0,1,1,NULL
481,NULL,Hedge Fence Slats Inserts,PVTPH4GR,65.75,1,1,NULL
482,NULL,Hedge Fence Slats Inserts,PVTPH5GR,85.0,1,1,NULL
483,NULL,Hedge Fence Slats Inserts,PVTPH6GR,85.0,1,1,NULL
484,NULL,Hedge Fence Slats Inserts,PVTPH7GR,115.0,1,1,NULL
485,NULL,Hedge Fence Slats Inserts,PVTPH8GR,125.0,1,1,NULL
486,NULL,Hedge Fence Slats Inserts,PVTPH10GR,179.0,1,1,NULL
3492,NULL,Top-Lock Fence Slats Inserts,PVT5TN,38.0,1,1,NULL
3493,NULL,Top-Lock Fence Slats Inserts,PVT5WH,38.0,1,1,NULL
3494,NULL,Top-Lock Fence Slats Inserts,PVT5RW,38.0,1,1,NULL
3495,NULL,Top-Lock Fence Slats Inserts,PVT5G,38.0,1,1,NULL
3496,NULL,Top-Lock Fence Slats Inserts,PVT6TN,44.0,1,1,NULL
3497,NULL,Top-Lock Fence Slats Inserts,PVT6WH,44.0,1,1,NULL
3498,NULL,Top-Lock Fence Slats Inserts,PVT6RW,44.0,1,1,NULL
