original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
165,12,NULL,NULL,NULL,NULL,,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40881,12,NULL,NULL,4 ft. x 50 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40882,12,NULL,NULL,4 ft. x 50 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40883,12,NULL,NULL,4 ft. x 50 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40884,12,NULL,NULL,4 ft. x 50 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40885,12,NULL,NULL,4 ft. x 50 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40886,12,NULL,NULL,4 ft. x 50 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40887,12,NULL,NULL,4 ft. x 50 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40888,12,NULL,NULL,4 ft. x 50 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40890,12,NULL,NULL,4 ft. x 100 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40891,12,NULL,NULL,4 ft. x 100 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40892,12,NULL,NULL,4 ft. x 100 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40893,12,NULL,NULL,4 ft. x 100 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40894,12,NULL,NULL,4 ft. x 100 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40895,12,NULL,NULL,4 ft. x 100 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40896,12,NULL,NULL,4 ft. x 100 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40897,12,NULL,NULL,4 ft. x 100 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40899,12,NULL,NULL,4 ft. x 200 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40900,12,NULL,NULL,4 ft. x 200 ft.,2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40901,12,NULL,NULL,4 ft. x 200 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40902,12,NULL,NULL,4 ft. x 200 ft.,1 1/2 in. x 4 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40903,12,NULL,NULL,4 ft. x 200 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40904,12,NULL,NULL,4 ft. x 200 ft.,1 in. x 1 in.,16 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
40905,12,NULL,NULL,4 ft. x 200 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC
40906,12,NULL,NULL,4 ft. x 200 ft.,1 in. x 2 in.,14 Gauge ,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,Vinyl PVC
