original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,description
165,NULL,50 ft. Fence Pen Kit,WW2K41450BK,NULL,100,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40881,NULL,50 ft. Fence Pen Kit,AFCFPK5024BK,NULL,245,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40882,NULL,50 ft. Fence Pen Kit,AFCFPK5024GR,NULL,245,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40883,NULL,50 ft. Fence Pen Kit,AFCFPK50154BK,NULL,120,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40884,NULL,50 ft. Fence Pen Kit,AFCFPK50154GR,NULL,120,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40885,NULL,50 ft. Fence Pen Kit,AFCFPK5011BK,NULL,273,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40886,NULL,50 ft. Fence Pen Kit,AFCFPK5011GR,NULL,273,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40887,NULL,50 ft. Fence Pen Kit,AFCFPK5012BK,NULL,180,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40888,NULL,50 ft. Fence Pen Kit,AFCFPK5012GR,NULL,180,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
40890,NULL,100 ft. Fence Pen Kit,AFCFPK10024BK,NULL,318,0,1,"Fence Pen Kits are manufactured by Academy Fence Welded Wire Manufacturing, a leading wire mesh fencing manufacturer. They make for a quick enclosure solution for new pets, dogs and play pens. They are also easy to install, portable and relocatable."
