original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
557,NULL,NULL,36 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
558,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
559,NULL,NULL,24 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
560,NULL,NULL,36 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
561,NULL,NULL,48 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
562,NULL,NULL,24 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
563,NULL,NULL,30 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
564,NULL,NULL,36 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
565,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
566,NULL,NULL,60 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
567,NULL,NULL,24 in. x 50 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
568,NULL,NULL,36 in. x 50 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
569,NULL,NULL,48 in. x 50 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
570,NULL,NULL,24 in. x 100 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
571,NULL,NULL,30 in. x 100 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
572,NULL,NULL,36 in. x 100 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
573,NULL,NULL,48 in. x 100 ft.,1/4 in. x 1/4 in.,23 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
574,NULL,NULL,24 in. x 100 ft.,1/8 in. x 1/8 in.,27 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
575,NULL,NULL,30 in. x 100 ft.,1/8 in. x 1/8 in.,27 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
576,NULL,NULL,36 in. x 100 ft.,1/8 in. x 1/8 in.,27 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
577,NULL,NULL,48 in. x 100 ft.,1/8 in. x 1/8 in.,27 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3355,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3356,NULL,NULL,60 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3357,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3358,NULL,NULL,36 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3359,NULL,NULL,48 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3360,NULL,NULL,60 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3361,NULL,NULL,72 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3362,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3363,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3364,NULL,NULL,60 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3365,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3366,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3367,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3368,NULL,NULL,60 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3369,NULL,NULL,72 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3370,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3371,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3373,NULL,NULL,36 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3374,NULL,NULL,48 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3375,NULL,NULL,36 in. x 50 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3376,NULL,NULL,48 in. x 50 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3377,NULL,NULL,18 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3378,NULL,NULL,24 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3379,NULL,NULL,36 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3380,NULL,NULL,48 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3381,NULL,NULL,60 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3382,NULL,NULL,72 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3383,NULL,NULL,24 in. x 100 ft.,1/2 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3384,NULL,NULL,36 in. x 100 ft.,1/2 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3385,NULL,NULL,36 in. x 100 ft.,NULL,,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
3386,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
36930,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
36932,NULL,NULL,24 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
36933,NULL,NULL,60 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
43762,NULL,NULL,48 in. x 50 ft.,2 in. x 3 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
43763,NULL,NULL,NULL,NULL,,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
43796,NULL,NULL,36 in. x 50 ft.,2 in. x 3 in.,16 Gauge,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
43797,NULL,NULL,NULL,NULL,,NULL,NULL,Galvanized Before Welding (GBW) Steel,NULL,Galvanized - Silver,Galvanized Zinc
