original_product_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
557,NULL,NULL,150.0,9.0,9.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
558,NULL,NULL,190.0,15.0,15.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
559,NULL,NULL,14.0,9.0,9.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
560,NULL,NULL,28.0,9.0,9.0,37.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
561,NULL,NULL,42.0,9.0,9.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
562,NULL,NULL,32.0,13.0,13.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
563,NULL,NULL,56.0,13.0,13.0,30.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
564,NULL,NULL,56.0,13.0,13.0,37.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
565,NULL,NULL,85.0,13.0,13.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
566,NULL,NULL,105.0,13.0,13.0,60.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
567,NULL,NULL,18.0,9.0,9.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
568,NULL,NULL,27.0,9.0,9.0,37.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
569,NULL,NULL,36.0,9.0,9.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
570,NULL,NULL,36.0,9.0,9.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
571,NULL,NULL,46.0,9.0,9.0,31.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
572,NULL,NULL,55.0,9.0,9.0,37.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
573,NULL,NULL,74.0,11.0,11.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
574,NULL,NULL,35.0,9.0,9.0,25.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
575,NULL,NULL,44.0,9.0,9.0,31.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
576,NULL,NULL,49.0,9.0,9.0,37.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
577,NULL,NULL,69.0,11.0,11.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3355,NULL,NULL,92.3,16.0,16.0,49.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3356,NULL,NULL,114.7,10.0,10.0,61.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3357,NULL,NULL,138.0,10.0,10.0,73.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3358,NULL,NULL,24.0,10.0,10.0,36.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3359,NULL,NULL,33.0,10.0,10.0,48.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3360,NULL,NULL,40.0,12.0,12.0,60.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3361,NULL,NULL,48.0,12.0,12.0,72.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3362,NULL,NULL,48.0,14.0,14.0,36.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3363,NULL,NULL,61.0,14.0,14.0,48.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3364,NULL,NULL,77.0,14.0,14.0,60.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3365,NULL,NULL,91.0,14.0,14.0,73.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3366,NULL,NULL,73.0,15.0,15.0,36.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3367,NULL,NULL,97.0,15.0,15.0,48.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3368,NULL,NULL,121.0,15.0,15.0,60.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3369,NULL,NULL,153.0,12.0,12.0,73.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3370,NULL,NULL,122.0,14.0,14.0,36.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3371,NULL,NULL,162.0,14.0,14.0,48.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3373,NULL,NULL,15.0,8.0,8.0,36.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
3374,NULL,NULL,20.0,8.0,8.0,48.0,WWF,0,0,1,Academy Fence Company Galvanized Welded Wire Fence
