original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
543,5,NULL,NULL,NULL,NULL,,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,NULL,High Quality Vinyl PVC
545,5,NULL,NULL,24 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC
552,5,NULL,NULL,36 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC
553,5,NULL,NULL,48 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC
554,5,NULL,NULL,24 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
555,5,NULL,NULL,36 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
556,5,NULL,NULL,48 in. x 25 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43077,5,NULL,NULL,24 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43076,5,NULL,NULL,72 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43075,5,NULL,NULL,60 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43065,5,NULL,NULL,36 in. x 50 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43067,5,NULL,NULL,60 in. x 50 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43066,5,NULL,NULL,48 in. x 50 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
35811,5,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
35810,5,NULL,NULL,36 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
35809,5,NULL,NULL,48 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
35808,5,NULL,NULL,36 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
35807,5,NULL,NULL,24 in. x 50 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
43789,5,NULL,NULL,60 in. x 100 ft.,1/2 in. x 1/2 in.,19 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC
