original_product_id,family_category_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
520,6,NULL,NULL,18.0,10.0,10.0,24.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
521,6,NULL,NULL,22.0,12.0,12.0,20.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
522,6,NULL,NULL,26.0,12.0,12.0,26.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
523,6,NULL,NULL,47.0,12.0,12.0,37.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
524,6,NULL,NULL,64.0,12.0,12.0,49.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
525,6,NULL,NULL,81.0,10.0,10.0,61.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
526,6,NULL,NULL,96.0,12.0,12.0,73.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
527,6,NULL,NULL,96.0,12.0,12.0,92.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
530,6,NULL,NULL,13.0,11.0,11.0,14.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
531,6,NULL,NULL,18.0,11.0,11.0,21.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
532,6,NULL,NULL,24.0,11.0,11.0,26.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
533,6,NULL,NULL,34.0,11.0,11.0,49.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
534,6,NULL,NULL,45.0,11.0,11.0,50.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
535,6,NULL,NULL,56.0,8.0,8.0,60.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
536,6,NULL,NULL,66.0,13.0,13.0,72.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
537,6,NULL,NULL,NULL,NULL,NULL,NULL,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
538,6,NULL,NULL,12.0,8.0,8.0,24.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
539,6,NULL,NULL,16.0,8.0,8.0,36.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
540,6,NULL,NULL,22.0,8.0,8.0,48.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
541,6,NULL,NULL,27.0,8.0,8.0,60.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
542,6,NULL,NULL,31.0,12.0,12.0,73.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
35781,6,NULL,NULL,1.0,10.0,10.0,10.0,NULL,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
35782,6,NULL,NULL,1.0,10.0,10.0,10.0,NULL,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
35783,6,NULL,NULL,1.0,10.0,10.0,10.0,NULL,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
36927,6,NULL,NULL,10.0,6.0,6.0,19.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
43766,6,NULL,NULL,173.0,14.0,14.0,73.0,WWF,0,0,1,Academy Fence Company Hex Netting / Chicken Wire Fence
