original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
42140,14,NULL,NULL,18 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Galvanized,Galvanized
42141,14,NULL,NULL,24 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Galvanized,Galvanized
42142,14,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Galvanized,Galvanized
42176,14,NULL,NULL,12 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42177,14,NULL,NULL,18 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42178,14,NULL,NULL,24 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42179,14,NULL,NULL,48 in. x 100 ft.,1/2 in. x 1/2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42189,14,NULL,NULL,18 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42190,14,NULL,NULL,24 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42191,14,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42192,14,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42193,14,NULL,NULL,24 in. x 100 ft.,1 in. x 1 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42194,14,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42195,14,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42196,14,NULL,NULL,60 in. x 100 ft.,1 in. x 1 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42213,14,NULL,NULL,28 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42214,14,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42215,14,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
42216,14,NULL,NULL,28 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Green,Vinyl PVC
42217,14,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Green,Vinyl PVC
42218,14,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Green,Vinyl PVC
42220,14,NULL,NULL,6 in. x 100 ft.,1 1/2 in. x 1 1/2 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Steel Wire,NULL,Black,Vinyl PVC
