original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
42140,NULL,Premium Hardwire Cloth - GAW,WWS151610018,103.12,153.91,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42141,NULL,Premium Hardwire Cloth - GAW,WWS151610024,139.65,208.43,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42142,NULL,Premium Hardwire Cloth - GAW,WWS151610048,294.0,438.8,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42176,NULL,Premium Vinyl Coated Hardwire Cloth - GBW,WWS151610012BK,99.12,147.94,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42177,NULL,Premium Vinyl Coated Hardwire Cloth - GBW,WWS151610018BK,149.1,222.53,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42178,NULL,Premium Vinyl Coated Hardwire Cloth - GBW,WWS151610024BK,198.45,296.19,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42179,NULL,Premium Vinyl Coated Hardwire Cloth - GBW,WWS151610048BK,395.85,590.81,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42189,NULL,Premium Vinyl Coated Welded Wire - GAW,WWS111410018BK,90.3,134.77,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42190,NULL,Premium Vinyl Coated Welded Wire - GAW,WWS111410024BK,119.7,178.65,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
42191,NULL,Premium Vinyl Coated Welded Wire - GAW,WWS111410036BK,179.55,267.98,1,1,14,"Academy Welded Wire Manufacturing offers a huge line of Premium Specialty Wire Mesh Fence and hardware cloth products in many sizes, gauges, and heavy duty weights. Manufactured with hot dipped galvanized black wire and then Vinyl PVC coated, Premium Specialty Wire Mesh Fence is most commonly used for specific industries like zoos, aviary sanctuaries, livestock, marine cages(such as lobster and crab traps) and animal pest control. Truly the best in quality that the industry has to offer!"
