original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating,family_category_id
364,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
365,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
366,NULL,NULL,48 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
367,NULL,NULL,60 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
368,NULL,NULL,72 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
371,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
372,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
379,NULL,NULL,60 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
380,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
381,NULL,NULL,36 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
382,NULL,NULL,48 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
383,NULL,NULL,60 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
384,NULL,NULL,72 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
385,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
386,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
387,NULL,NULL,48 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Brown,High Quality Vinyl PVC,2
388,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Brown,High Quality Vinyl PVC,2
389,NULL,NULL,48 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,White,High Quality Vinyl PVC,2
390,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
391,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
392,NULL,NULL,48 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
393,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
394,NULL,NULL,48 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
395,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
396,NULL,NULL,24 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
398,NULL,NULL,36 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
399,NULL,NULL,48 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
400,NULL,NULL,36 in. x 50 ft.,3 in. x 2 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
