original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,description
364,NULL,Welded Wire - Vinyl PVC Coated,WW241210048BK,NULL,260.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
365,NULL,Welded Wire - Vinyl PVC Coated,WW241210048GR,NULL,152.5,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
366,NULL,Welded Wire - Vinyl PVC Coated,WW24145048BK,30.07,100.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
367,NULL,Welded Wire - Vinyl PVC Coated,WW24145060BK,30.02,125.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
368,NULL,Welded Wire - Vinyl PVC Coated,WW24145072BK,36.13,155.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
371,NULL,Welded Wire - Vinyl PVC Coated,WW241410036BK,36.73,140.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
372,NULL,Welded Wire - Vinyl PVC Coated,WW241410048BK,48.19,180.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
379,NULL,Welded Wire - Vinyl PVC Coated,WW241410060BK,59.99,200.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
380,NULL,Welded Wire - Vinyl PVC Coated,WW241410072BK,71.65,240.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
381,NULL,Welded Wire - Vinyl PVC Coated,WW24145036GR,NULL,60.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
382,NULL,Welded Wire - Vinyl PVC Coated,WW24145048GR,NULL,130.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
383,NULL,Welded Wire - Vinyl PVC Coated,WW24145060GR,NULL,95.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
384,NULL,Welded Wire - Vinyl PVC Coated,WW24145072GR,NULL,110.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
