original_product_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
364,NULL,NULL,106.0,16,16,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
365,NULL,NULL,106.0,11,11,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
366,NULL,NULL,33.0,11,11,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
367,NULL,NULL,40.0,10,10,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
368,NULL,NULL,52.0,10,10,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
371,NULL,NULL,48.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
372,NULL,NULL,72.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
379,NULL,NULL,80.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
380,NULL,NULL,98.0,15,15,74,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
381,NULL,NULL,24.0,11,11,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
382,NULL,NULL,33.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
383,NULL,NULL,40.0,10,10,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
384,NULL,NULL,48.0,10,10,72,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
385,NULL,NULL,48.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
386,NULL,NULL,72.0,12,12,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
387,NULL,NULL,33.0,11,11,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
388,NULL,NULL,72.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
389,NULL,NULL,72.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
390,NULL,NULL,172.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
391,NULL,NULL,172.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
392,NULL,NULL,62.0,11,11,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
393,NULL,NULL,122.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
394,NULL,NULL,62.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
395,NULL,NULL,122.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
396,NULL,NULL,10.0,8,8,25,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
398,NULL,NULL,15.0,8,8,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
399,NULL,NULL,25.0,11,11,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
400,NULL,NULL,19.0,11,11,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
402,NULL,NULL,25.0,12,12,48,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
408,NULL,NULL,74.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
410,NULL,NULL,74.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
412,NULL,NULL,125.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
413,NULL,NULL,184.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
414,NULL,NULL,122.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
415,NULL,NULL,184.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43070,NULL,NULL,197.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43069,NULL,NULL,66.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43054,NULL,NULL,89.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43055,NULL,NULL,140.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43058,NULL,NULL,135.0,14,14,48,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43060,NULL,NULL,93.0,10,10,36,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43062,NULL,NULL,34.0,15,15,25,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15251,NULL,NULL,92.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15252,NULL,NULL,48.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15253,NULL,NULL,153.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15254,NULL,NULL,80.0,10,10,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15255,NULL,NULL,183.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15256,NULL,NULL,96.0,10,10,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15257,NULL,NULL,92.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15258,NULL,NULL,48.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15259,NULL,NULL,153.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15260,NULL,NULL,80.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15261,NULL,NULL,183.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
15262,NULL,NULL,96.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
16407,NULL,NULL,85.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
16408,NULL,NULL,96.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
16409,NULL,NULL,24.0,11,11,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
18522,NULL,NULL,110.0,NULL,NULL,NULL,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35806,NULL,NULL,60.0,15,15,25,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35805,NULL,NULL,30.0,9,9,48,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
