original_product_id,product_id,product_name,item_no,price_per_unit,shippable,family_category_id,description
364,NULL,Welded Wire - Vinyl PVC Coated ,WW241210048BK,130.0,1,2,NULL
365,NULL,Welded Wire - Vinyl PVC Coated ,WW241210048GR,152.5,1,2,NULL
366,NULL,Welded Wire - Vinyl PVC Coated ,WW24145048BK,53.0,1,2,NULL
367,NULL,Welded Wire - Vinyl PVC Coated ,WW24145060BK,60.0,1,2,NULL
368,NULL,Welded Wire - Vinyl PVC Coated ,WW24145072BK,75.0,1,2,NULL
371,NULL,Welded Wire - Vinyl PVC Coated ,WW241410036BK,73.0,1,2,NULL
372,NULL,Welded Wire - Vinyl PVC Coated ,WW241410048BK,93.0,1,2,NULL
379,NULL,Welded Wire - Vinyl PVC Coated ,WW241410060BK,115.0,1,2,NULL
380,NULL,Welded Wire - Vinyl PVC Coated ,WW241410072BK,140.0,1,2,NULL
381,NULL,Welded Wire - Vinyl PVC Coated ,WW24145036GR,37.9,1,2,NULL
382,NULL,Welded Wire - Vinyl PVC Coated ,WW24145048GR,53.8,1,2,NULL
383,NULL,Welded Wire - Vinyl PVC Coated ,WW24145060GR,66.8,1,2,NULL
384,NULL,Welded Wire - Vinyl PVC Coated ,WW24145072GR,78.8,1,2,NULL
385,NULL,Welded Wire - Vinyl PVC Coated ,WW241410036GR,71.8,1,2,NULL
386,NULL,Welded Wire - Vinyl PVC Coated ,WW241410048GR,93.3,1,2,NULL
387,NULL,Welded Wire - Vinyl PVC Coated ,WW24145048BR,62.6,1,2,NULL
388,NULL,Welded Wire - Vinyl PVC Coated ,WW241410048BR,109.0,1,2,NULL
389,NULL,Welded Wire - Vinyl PVC Coated ,WW241410048WH,109.0,1,2,NULL
390,NULL,Welded Wire - Vinyl PVC Coated ,WW111410048BK,205.0,1,2,NULL
391,NULL,Welded Wire - Vinyl PVC Coated ,WW111410048GR,215.0,1,2,NULL
392,NULL,Welded Wire - Vinyl PVC Coated ,WW11165048BK,80.0,1,2,NULL
393,NULL,Welded Wire - Vinyl PVC Coated ,WW111610048BK,150.0,1,2,NULL
394,NULL,Welded Wire - Vinyl PVC Coated ,WW11165048GR,75.0,1,2,NULL
395,NULL,Welded Wire - Vinyl PVC Coated ,WW111610048GR,145.0,1,2,NULL
396,NULL,Welded Wire - Vinyl PVC Coated ,WW32165024GR,23.09,1,2,NULL
398,NULL,Welded Wire - Vinyl PVC Coated ,WW32165036GR,29.25,1,2,NULL
399,NULL,Welded Wire - Vinyl PVC Coated ,WW32165048GR ,40.8,1,2,NULL
400,NULL,Welded Wire - Vinyl PVC Coated ,WW32165036BK,29.25,1,2,NULL
402,NULL,Welded Wire - Vinyl PVC Coated ,WW32165048BK ,40.8,1,2,NULL
408,NULL,Welded Wire - Vinyl PVC Coated Pool Code,WW1541410048BK,110.0,1,2,NULL
410,NULL,Welded Wire - Vinyl PVC Coated Pool Code,WW1541410048GR,116.9,1,2,NULL
412,NULL,Welded Wire - Vinyl PVC Coated ,WW121410048BK,156.0,1,2,NULL
413,NULL,Welded Wire - Vinyl PVC Coated ,WW121410060BK,195.0,1,2,NULL
