original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
40626,11,NULL,NULL,4 ft. x 3 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40627,11,NULL,NULL,4 ft. x 4 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40628,11,NULL,NULL,4 ft. x 5 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40629,11,NULL,NULL,5 ft. x 3 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40630,11,NULL,NULL,5 ft. x 4 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40631,11,NULL,NULL,5 ft. x 5 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40632,11,NULL,NULL,6 ft. x 3 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40633,11,NULL,NULL,6 ft. x 4 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40634,11,NULL,NULL,6 ft. x 5 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40799,11,NULL,NULL,4 ft. x 6 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40800,11,NULL,NULL,4 ft. x 8 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40801,11,NULL,NULL,4 ft. x 10 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40802,11,NULL,NULL,5 ft. x 6 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40803,11,NULL,NULL,5 ft. x 8 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40804,11,NULL,NULL,5 ft. x 10 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40805,11,NULL,NULL,6 ft. x 6 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40806,11,NULL,NULL,6 ft. x 8 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
40807,11,NULL,NULL,6 ft. x 10 ft.,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Steel,NULL,Galvanized,NULL
