product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,500,22,NULL,3 ft. H,NULL,NULL,Split Rail,2 Rail,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,501,22,NULL,4 ft. H,NULL,NULL,Split Rail,3 Rail,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2611,22,NULL,3 ft. H,NULL,NULL,Split Rail,2 Rail,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2612,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2613,22,NULL,132 in. Long,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2614,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2615,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2616,22,NULL,4 ft. H,NULL,NULL,Split Rail,3 Rail,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2617,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2618,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2619,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,2620,22,NULL,132 in. Long,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16386,22,NULL,3 ft. H x 3 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16387,22,NULL,3 ft. H x 4 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16388,22,NULL,3 ft. H x 5 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16389,22,NULL,3 ft. H x 6 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16390,22,NULL,3 ft. H x 8 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16391,22,NULL,3 ft. H x 10 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16392,22,NULL,4 ft. H x 3 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16393,22,NULL,4 ft. H x 4 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16394,22,NULL,4 ft. H x 5 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16395,22,NULL,4 ft. H x 6 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16396,22,NULL,4 ft. H x 8 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,16397,22,NULL,4 ft. H x 10 ft. W,NULL,NULL,Split Rail,NULL,"Post - Locust, Rail - Hemlock",10 ft.,Cedar Wood,NULL
NULL,43715,22,NULL,120 in. Long,NULL,NULL,Round Rail,NULL,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43716,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43717,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43718,22,NULL,72 in. Long,NULL,NULL,NULL,2 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43719,22,NULL,36 in. x 10 ft.,NULL,NULL,Round Rail,2 Rail,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43720,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43721,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43722,22,NULL,84 in. Long,NULL,NULL,NULL,3 Hole,Cedar Wood,10 ft.,Cedar Wood,NULL
NULL,43723,22,NULL,48 in. x 10 ft.,NULL,NULL,Round Rail,3 Rail,Cedar Wood,10 ft.,Cedar Wood,NULL
