original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
500,NULL,Rustic Split 2 Rail Post & Rail,AFCWFPR2R,NULL,0,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
501,NULL,Rustic Split 3 Rail Post & Rail,AFCWFPR3R,NULL,0,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2611,NULL,Rustic Split Post and Rail 2 Rail Section,AWFRS2R1P2,NULL,37,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2612,NULL,2 Hole Line Post,AWFRS2LP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2613,NULL,Single Split Rail Jumbo,AWFRS2RAIL2,NULL,12,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2614,NULL,2 Hole End Post,AWFRS2EP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2615,NULL,2 Hole Corner Post,AWFRS2CP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2616,NULL,Rustic Split Post and Rail 3 Rail Section,AWFRS3R1P3,NULL,47,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2617,NULL,3 Hole Corner Post,AWFRS3CP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2618,NULL,3 Hole Line Post,AWFRS3LP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
2619,NULL,3 Hole End Post,AWFRS3EP,NULL,18,0,16,22,"Academy Rustic Split Post & Rail fence comes with 11 ft. Hemlock rails (considered the best), making spaces between posts 10 feet on center. Post are made from high quality locust wood, and all posts are galvanized staple reinforced at the top. This combination results in a nice looking, long lasting fence. Post & Rail has been traditionally used for horse corrals, and other livestock enclosures. Nowadays it is used for yard and garden fences. Additionally color PVC coated welded wire is easily attached to render Post & Rail into an attractive dog enclosure, yard guard or pool code fence."
