product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2621,19,NULL,NULL,NULL,NULL,,NULL,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2622,19,NULL,NULL,NULL,NULL,,NULL,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2623,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2624,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2625,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2626,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2627,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2628,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2629,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2630,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2631,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2632,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2633,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2634,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2635,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2636,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2637,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2638,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2639,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2640,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2641,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2642,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2643,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2644,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2645,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2646,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2647,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2648,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2649,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2650,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2651,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2652,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2653,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2654,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2655,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2656,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2657,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2658,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2659,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2660,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2661,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2662,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2663,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2664,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2665,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2666,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2667,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2668,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2669,19,NULL,96 X 36,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2670,19,NULL,96 X 42,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2671,19,NULL,96 X 48,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2672,19,NULL,96 X 54,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2673,19,NULL,96 X 60,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2675,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2677,19,NULL,96 X 84,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2678,19,NULL,96 X 96,NULL,NULL,Straight on Top,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2679,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2680,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2681,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2682,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2683,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2684,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2685,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2686,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2687,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2688,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2689,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2690,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2691,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2692,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2693,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2694,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2695,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2696,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2697,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2698,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2699,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2700,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2701,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2707,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2708,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2709,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2710,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2711,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2712,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2713,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2714,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2715,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2716,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2717,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2718,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2719,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2724,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2725,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2729,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2731,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2733,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2734,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2735,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2736,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2737,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2738,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2739,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2740,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2742,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2743,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2745,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
