original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
2621,NULL,Bd on Bd 2 1/2 in. Spaced Sections,AFCBD214,NULL,0.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2622,NULL,Bd on Bd 1 3/4 Spaced Sections,AFCBD134,NULL,0.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2623,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES36,NULL,70.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2624,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES42,NULL,70.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2625,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES48,NULL,70.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2626,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES54,NULL,70.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2627,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES60,NULL,90.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2628,NULL,Bd on Bd 2 1/2 in. Section SOT Slant Ear,BB2SOTDES72,NULL,105.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2629,NULL,Bd on Bd 2 1/2 in. Section Concave Slant Ear,BB2CCDES36,NULL,75.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
2630,NULL,Bd on Bd 2 1/2 in. Section Concave Slant Ear,DD2CCDES42,NULL,75.0,0,16,19,"Academy manufactured Shadow Box / Board On Board Wood Fence is hand made with 1 in. x 4 in. white cedar boards, stainless steel nailed to 2 in. x 3 in. husky white cedar back rails. The individual pickets ome in a variety of styles, including slant ear and french gothic."
