original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
496,NULL,Wood Fence Solid Board,AFCSB,NULL,0.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
2793,NULL,Solid Board Sections,AFCSBS,NULL,0.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
2796,NULL,Solid Board Section SOT Slant Ear,SBSTSE36,NULL,60.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3024,NULL,Solid Board Section SOT Slant Ear,SBSOTSE42,NULL,60.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3025,NULL,Solid Board Section SOT Slant Ear,SBSOTSE48,NULL,60.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3026,NULL,Solid Board Section SOT Slant Ear,SBSOTSE54,NULL,60.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3027,NULL,Solid Board Section SOT Slant Ear,SBSOTSE60,NULL,80.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3028,NULL,Solid Board Section SOT Slant Ear,SBSOTSE72,NULL,98.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3030,NULL,Solid Board Section SOT Slant Ear,SBSOTSE84,NULL,0.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
3031,NULL,Solid Board Section SOT Slant Ear,SBSOTSE96,NULL,0.0,0,16,18,"Academy has been manufacturing decorative Solid Board privacy fencing for over 40 years using high quality 1 in. x 4 in. white cedar boards and husky 2 in. x 3 in. white cedar backrails. White cedar is distinguished as the time proven local choice wood fence material. Unlike spruce or pressure treated, white cedar stays relatively true and stable and weathers to a pleasant silver-gray during its expected 15 to 20 year life span, many times much longer. Each section is stainless steel nailed and custom hand made. Solid board offers privacy and is available with a variety of picket styles."
