product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,488,17,NULL,NULL,NULL,NULL,,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,489,17,NULL,NULL,NULL,NULL,,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,490,17,NULL,NULL,NULL,NULL,,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,491,17,NULL,NULL,NULL,NULL,,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,492,17,NULL,NULL,NULL,NULL,,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,493,17,NULL,NULL,NULL,NULL,,French Gothic,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,494,17,NULL,NULL,NULL,NULL,,NULL,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,495,17,NULL,NULL,NULL,NULL,,NULL,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41361,17,NULL,7 ft. H x 5 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41358,17,NULL,7 ft. H x 3 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41318,17,NULL,7 ft. H x 9 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41317,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41316,17,NULL,7 ft. H x 7 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41315,17,NULL,7 ft. H x 6 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41314,17,NULL,7 ft. H x 6 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41313,17,NULL,7 ft. H x 5 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41312,17,NULL,7 ft. H x 4 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41311,17,NULL,7 ft. H x 3 1/2 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41310,17,NULL,7 ft. H x 3 ft. W,NULL,NULL,Concave,Flat Top,100% Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,41074,17,NULL,7 ft. H x 11 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,41072,17,NULL,7 ft. H x 9 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,41071,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,41015,17,NULL,8 ft. H x 12 ft. W,NULL,NULL,Straight on Top,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
