product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,17547,23,NULL,6 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17548,23,NULL,6 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17549,23,NULL,7 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17550,23,NULL,7 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17551,23,NULL,8 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17552,23,NULL,8 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17553,23,NULL,9 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17554,23,NULL,9 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17555,23,NULL,6 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17556,23,NULL,6 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17557,23,NULL,7 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17558,23,NULL,7 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17559,23,NULL,8 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17560,23,NULL,8 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17561,23,NULL,9 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17562,23,NULL,9 ft.,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17563,23,NULL,3 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17564,23,NULL,3 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17565,23,NULL,3 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17566,23,NULL,3 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17567,23,NULL,3 ft. H x 4 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17568,23,NULL,3 ft. H x 4 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17569,23,NULL,3 ft. H x 6 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17570,23,NULL,3 ft. H x 6 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17571,23,NULL,4 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17572,23,NULL,4 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17573,23,NULL,4 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17574,23,NULL,4 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17575,23,NULL,4 ft. H x 4 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17576,23,NULL,4 ft. H x 4 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17577,23,NULL,4 ft. H x 6 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17578,23,NULL,4 ft. H x 6 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17579,23,NULL,5 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17580,23,NULL,5 ft. H x 8 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17581,23,NULL,5 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17582,23,NULL,5 ft. H x 12 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
NULL,17583,23,NULL,5 ft. H x 4 ft. W,NULL,NULL,Square Spindle,NULL,Cedar Wood,NULL,Cedar Wood,NULL
