product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2606,21,NULL,4 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,2607,21,NULL,5 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,2608,21,NULL,6 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,2609,21,NULL,8 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16326,21,NULL,3 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16327,21,NULL,3 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16328,21,NULL,3 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16329,21,NULL,3 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16330,21,NULL,3 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16331,21,NULL,3 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16332,21,NULL,3 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16333,21,NULL,3 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16334,21,NULL,3 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16335,21,NULL,3 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16336,21,NULL,3 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16337,21,NULL,3 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16338,21,NULL,3 1/2 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16339,21,NULL,3 1/2 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16340,21,NULL,3 1/2 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16341,21,NULL,3 1/2 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16342,21,NULL,3 1/2 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16343,21,NULL,3 1/2 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16344,21,NULL,3 1/2 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16345,21,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16346,21,NULL,3 1/2 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16347,21,NULL,3 1/2 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16348,21,NULL,3 1/2 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16349,21,NULL,3 1/2 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16350,21,NULL,4 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16351,21,NULL,4 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16352,21,NULL,4 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16353,21,NULL,4 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16354,21,NULL,4 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16355,21,NULL,4 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16356,21,NULL,4 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16357,21,NULL,4 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16358,21,NULL,4 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16359,21,NULL,4 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16360,21,NULL,4 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16361,21,NULL,4 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16362,21,NULL,5 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16363,21,NULL,5 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16364,21,NULL,5 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16365,21,NULL,5 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16366,21,NULL,5 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16367,21,NULL,5 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16368,21,NULL,5 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16369,21,NULL,5 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16370,21,NULL,5 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16371,21,NULL,5 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16372,21,NULL,5 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16373,21,NULL,5 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16374,21,NULL,6 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16375,21,NULL,6 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16376,21,NULL,6 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16377,21,NULL,6 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16378,21,NULL,6 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16379,21,NULL,6 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16380,21,NULL,6 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16381,21,NULL,6 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16382,21,NULL,6 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16383,21,NULL,6 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16384,21,NULL,6 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,16385,21,NULL,6 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,36850,21,NULL,NULL,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36851,21,NULL,1 in. x 3 in. x 36 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36852,21,NULL,1 in. x 3 in. x 42 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36853,21,NULL,1 in. x 3 in. x 48 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36854,21,NULL,1 in. x 3 in. x 60 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36855,21,NULL,1 in. x 3 in. x 72 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36856,21,NULL,1 in. x 3 in. x 84 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,36857,21,NULL,1 in. x 3 in. x 96 in. H,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Cedar Wood,NULL
NULL,41479,21,NULL,8 ft. H x 3 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41480,21,NULL,8 ft. H x 3 1/2 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41481,21,NULL,8 ft. H x 4 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41482,21,NULL,8 ft. H x 5 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41483,21,NULL,8 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41484,21,NULL,8 ft. H x 6 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41485,21,NULL,8 ft. H x 7 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41486,21,NULL,8 ft. H x 8 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41487,21,NULL,8 ft. H x 9 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41488,21,NULL,8 ft. H x 10 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41489,21,NULL,8 ft. H x 11 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
NULL,41490,21,NULL,8 ft. H x 12 ft. W,NULL,NULL,Stockade,Straight on Top,Cedar Wood,NULL,Spruce,NULL
