original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
2606,NULL,Stockade 3/4 in. #1 Grade,AFCSKS48,37.0,46.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
2607,NULL,Stockade 3/4 in. #1 Grade,AFCSKS60,40.0,50.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
2608,NULL,Stockade 3/4 in. #1 Grade,AFCSKS72,47.0,54.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
2609,NULL,Stockade 3/4 in. #1 Grade,AFCSKS96,65.0,90.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16326,NULL,Single Gate Stockade SOT,SGSKSOTFT336,NULL,165.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16327,NULL,Single Gate Stockade SOT,SGSKSOTFT342,NULL,165.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16328,NULL,Single Gate Stockade SOT,SGSKSOTFT348,NULL,165.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16329,NULL,Single Gate Stockade SOT,SGSKSOTFT360,NULL,185.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16330,NULL,Single Gate Stockade SOT,SGSKSOTFT372,NULL,200.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16331,NULL,Double Gate Stockade SOT,DGSKSOTFT372,NULL,365.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16332,NULL,Double Gate Stockade SOT,DGSKSOTFT384,NULL,365.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16333,NULL,Double Gate Stockade SOT,DGSKSOTFT396,NULL,365.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16334,NULL,Double Gate Stockade SOT,DGSKSOTFT3108,NULL,365.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16335,NULL,Double Gate Stockade SOT,DGSKSOTFT3120,NULL,395.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
16336,NULL,Double Gate Stockade SOT,DGSKSOTFT3132,NULL,395.0,0,16,21,"Taking its name from old fort and settlement enclosures, Academy Fence Company offers long lasting 3/4 in. thick, #1 grade stockade fencing. Stockade is often used as yard and garden perimeter fencing, made of 3 i. wide beveled finished plank (pickets) nailed to horizontal backrails, useful for privacy and decoration."
