product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
364,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-12.5-gauge-black,,,Black,WW241210048BK,0.0,WW241248V,,0.0,0.0,130.0,0.0,0.0,106.0,1,48in x 100ft,,,,0.0,0,0,,0.0,,,6122x4rollbk.png,,,0.0,0.0,2010-03-25 11:44:11,2013-10-24 11:53:48,2014-04-25,3.0,,15,49,1,16,16,49,,,,,,,,,2in x 4in 12.5 Gauge,0.0,1.0,1.0,WWF
365,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-12.5-gauge-green,,,Green,WW241210048GR,,WW241248V,,,,152.5,,,106.0,1,48in x 100ft ,,12,,24.0,29,-5,,,,,1322x4rollgr.gif.png,,,,1.0,2010-03-25 11:50:02,2010-03-25 11:50:02,2014-04-25,,,,,,11,11,49,,,,,,,,,2in x 4in 12.5 Gauge,,1.0,1.0,WWF
366,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-black,,,Black,WW24145048BK,0.0,WW241448V,,0.0,30.07,53.0,0.0,0.0,33.0,1,48in x 50ft,,14,,147.0,152,-5,,0.0,,,432x4rollbk.png,,,0.0,1.0,2010-03-25 12:01:34,2010-03-25 12:01:34,2014-04-24,,,,,,11,11,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
367,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-60in-x-50ft-2in-x-4in-14-gauge-black,,,Black,WW24145060BK,0.0,WW241460V,,0.0,0.0,60.0,0.0,0.0,40.0,1,60in x 50ft ,,12,,17.0,22,-5,,0.0,,,252x4rollbk.png,,,0.0,1.0,2010-03-25 12:30:04,2010-03-25 12:30:04,2014-04-24,,,,,,10,10,61,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
368,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-72in-x-50ft-2in-x-4in-14-gauge-black,,,Black,WW24145072BK,0.0,WW241472V,,0.0,0.0,75.0,0.0,0.0,52.0,1,72in x 50ft,,,,69.0,81,-12,,0.0,,,7892x4rollbk.png,,,0.0,1.0,2010-03-25 12:35:06,2014-01-15 15:17:50,2014-04-24,3.0,,,,,10,10,73,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
371,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-36in-x-100ft-2in-x-4in-14-gauge-black,,,Black,WW241410036BK,0.0,WW241436V,,0.0,0.0,73.0,0.0,0.0,48.0,1,36in x 100ft,,,,50.0,71,-21,,0.0,,,8062x4rollbk.png,,,0.0,1.0,2010-03-25 13:54:27,2014-02-11 12:27:07,2014-04-24,3.0,,,,,15,15,37,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
372,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-black,,,Black,WW241410048BK,0.0,WW241448V,,0.0,0.0,93.0,0.0,0.0,72.0,1,48in x 100ft,,,,27.0,61,-34,,0.0,,,5742x4rollbk.png,,,0.0,1.0,2010-03-25 14:27:33,2014-02-11 12:27:26,2014-04-25,3.0,,,,,15,15,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
379,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-60in-x-100ft-2in-x-4in-14-gauge-black,,,Black,WW241410060BK,0.0,WW241460V,,0.0,72.98,115.0,0.0,0.0,80.0,1,60in x 100ft,,12,,10.0,33,-23,,0.0,,,6942x4rollbk.png,,,0.0,1.0,2010-03-26 06:13:47,2010-03-26 06:13:47,2014-04-24,,,,,,15,15,61,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,,WWF
380,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-72in-x-100ft-2in-x-4in-14-gauge-black,,,Black,WW241410072BK,0.0,WW241472V,,0.0,88.69,140.0,0.0,,98.0,1,72in x 100ft ,,,,109.0,124,-15,,0.0,,,4242x4rollbk.png,,,,1.0,2010-03-26 06:16:09,2014-05-01 09:45:07,2014-04-25,3.0,,,,,15,15,74,,,,,,,,,2in x 4in 14 Gauge,0.0,,,WWF
381,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-36in-x-50ft-2in-x-4in-14-gauge-green,,,Green,WW24145036GR,,WW241436V,,,,37.9,,,24.0,1,36in x 50ft,,,,37.0,37,0,,,,,12x4rollgr.gif.png,,,,1.0,2010-03-26 06:18:55,2010-03-26 06:18:55,2014-04-24,,,,,,11,11,37,,,,,,,,,2in x 4in 14 Gauge,,1.0,1.0,WWF
382,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-green,,,Green,WW24145048GR,0.0,WW241448V,,,,53.8,,,33.0,1,48in x 50ft,,,,,0,0,,,,,4482x4rollgr.gif.png,,,,0.0,2010-03-26 06:21:36,2014-05-02 10:26:28,2014-04-24,3.0,,,,,15,15,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,1.0,WWF
383,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-60in-x-50ft-2in-x-4in-14-gauge-green,,,Green,WW24145060GR,,WW241460V,,,,66.8,,,40.0,1,60in x 50ft,,,,0.0,0,0,,,,,8352x4rollgr.gif.png,,,,0.0,2010-03-26 06:23:27,2010-03-26 06:23:27,2014-03-11,,,,,,10,10,61,,,,,,,,,2in x 4in 14 Gauge,,1.0,1.0,WWF
384,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-72in-x-50ft-2in-x-4in-14-gauge-green,,,Green,WW24145072GR,,WW241472V,,,,78.8,,,48.0,1,72in x 50ft,,,,21.0,21,0,,,,,7632x4rollgr.gif.png,,,,1.0,2010-03-26 06:25:37,2010-03-26 06:25:37,2014-04-30,,,,,,10,10,72,,,,,,,,,2in x 4in 14 Gauge,,1.0,1.0,WWF
385,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-36in-x-100ft-2in-x-4in-14-gauge-green,,,Green,WW241410036GR,,WW241436V,,,,71.8,,,48.0,1,36in x 100ft,,,,33.0,37,-4,,,,,3142x4rollgr.gif.png,,,,1.0,2010-03-26 06:30:20,2010-03-26 06:30:20,2014-04-25,,,,,,15,15,37,,,,,,,,,2in x 4in 14 Gauge,,1.0,1.0,WWF
386,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-green,,,Green,WW241410048GR,,WW241448V,,,,93.3,,,72.0,1,48in x 100ft,,,,-1.0,0,-1,,,,,8552x4rollgr.gif.png,,,,0.0,2010-03-26 06:31:57,2010-03-26 06:31:57,2014-04-25,,,,,,12,12,49,,,,,,,,,2in x 4in 14 Gauge,,1.0,1.0,WWF
387,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-brown,,,Brown,WW24145048BR,0.0,WW241448V,,,,62.6,,,33.0,1,48in x 50ft,,,,1.0,6,-5,,,,,552x4brown.jpg,,,,1.0,2010-03-26 06:45:01,2014-02-24 14:04:18,2012-11-05,3.0,,,,,11,11,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,1.0,WWF
388,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-brown,,,Brown,WW241410048BR,0.0,WW241448V,,,,109.0,,,72.0,1,48in x 100ft,,,,16.0,29,-13,,,,,2112x4brown.jpg,,,,1.0,2010-03-26 06:47:47,2014-02-24 14:03:47,2014-04-24,3.0,,,,,15,15,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,1.0,WWF
389,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-white,,,White,WW241410048WH,0.0,AFCWW2X4,,,,109.0,,,72.0,1,48in x 100ft,,,,10.0,10,0,,,,,,,,,1.0,2010-03-26 06:49:16,2014-02-24 14:04:44,2014-04-24,3.0,,,,,15,15,49,,,,,,,,,2in x 4in 14 Gauge,0.0,1.0,1.0,WWF
390,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-14-gauge-black,,,Black,WW111410048BK,0.0,WW111448V,,,,205.0,,,172.0,0,48in x 100ft,,,,8.0,16,-8,,,,,5361x1black.jpg,,,,1.0,2010-03-26 06:52:50,2014-02-26 16:28:48,2014-04-25,3.0,,,,,15,15,49,,,,,,,,,1in x 1in 14 Gauge,0.0,,,WWF
391,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-14-gauge-green,,,Green,WW111410048GR,0.0,WW111448V,,0.0,0.0,215.0,0.0,0.0,172.0,0,48in x 100ft,,,,3.0,3,0,,0.0,,,7371x1green.jpg,,,0.0,1.0,2010-03-26 06:54:56,2013-05-02 10:56:12,2014-04-25,32.0,,,,,15,15,49,,,,,,,,,1in x 1in 14 Gauge,0.0,0.0,,WWF
392,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-1in-x-1in-16-gauge-black,,,Black,WW11165048BK,0.0,WW111648V,,0.0,0.0,80.0,0.0,,62.0,1,48in x 50ft ,,,,45.0,49,-4,,0.0,,,151x1black.jpg,,,,1.0,2010-03-26 06:58:46,2014-04-04 11:05:15,2014-04-25,3.0,,,,,11,11,49,,,,,,,,,1in x 1in  16 Gauge,0.0,1.0,,WWF
393,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-16-gauge-black,,,Black,WW111610048BK,0.0,WW111648V,,0.0,0.0,150.0,0.0,,122.0,1,48in x 100ft,,,,179.0,188,-9,,0.0,,,5471x1black.jpg,,,,1.0,2010-03-26 07:01:04,2014-04-04 15:05:42,2014-04-25,3.0,,,,,15,15,49,,,,,,,,,1in x 1in  16 Gauge,0.0,1.0,,WWF
394,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-1in-x-1in-16-gauge-green,,,Green,WW11165048GR,0.0,WW111648V,,,,75.0,,,62.0,1,48in x 50ft,,,,14.0,16,-2,,,,,7441x1green.jpg,,,,1.0,2010-03-26 07:02:56,2014-01-30 10:28:41,2014-04-25,3.0,,,,,15,15,49,,,,,,,,,1in x 1in  16 Gauge,0.0,1.0,1.0,WWF
395,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-16-gauge-green,,,Green,WW111610048GR,0.0,WW111648V,,,,145.0,,,122.0,1,48in x 100ft ,,,,45.0,50,-5,,,,,9071x1green.jpg,,,,1.0,2010-03-26 07:04:43,2014-03-14 15:09:09,2014-04-25,3.0,,,,,15,15,49,,,,,,,,,1in x 1in  16 Gauge,0.0,1.0,1.0,WWF
396,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-24in-x-50ft-3in-x-2in-16-gauge-green,,,Green,WW32165024GR,0.0,WW321624V,,0.0,0.0,23.09,0.0,0.0,10.0,1,24in x 50ft,,,,0.0,0,0,,0.0,,,1543x2rollgr.gif.png,,,0.0,0.0,2010-03-26 07:08:40,2013-05-02 10:10:01,2014-04-25,32.0,,,,,8,8,25,,,,,,,,,3in x 2in 16 Gauge,0.0,1.0,1.0,WWF
398,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-36in-x-50ft-3in-x-2in-16-gauge-green,,,Green,WW32165036GR,0.0,WW321636V,,0.0,0.0,29.25,0.0,0.0,15.0,1,36in x 50ft ,,,,33.0,0,33,,0.0,,,2543x2rollgr.gif.png,,,0.0,1.0,2010-03-26 07:11:11,2013-05-02 10:30:23,2014-04-25,32.0,,,,,8,8,37,,,,,,,,,3in x 2in 16 Gauge,0.0,1.0,1.0,WWF
399,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-3in-x-2in-16-gauge-green,,,Green,WW32165048GR ,0.0,WW321648V,,0.0,0.0,40.8,0.0,0.0,25.0,1,48in x 50ft,,,,17.0,0,17,,0.0,,,4503x2rollgr.gif,,,0.0,1.0,2010-03-26 07:17:21,2013-05-02 10:31:58,2014-04-25,32.0,,,,,11,11,49,,,,,,,,,3in x 2in 16 Gauge,0.0,1.0,1.0,WWF
400,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-36in-x-50ft-3in-x-2in-16-gauge-black,,,Black,WW32165036BK,0.0,WW321636V,,,,29.25,,,19.0,1,36in x 50ft,,,,-1.0,0,-1,,,,,5523x2black.jpg,,,,0.0,2010-03-26 07:20:31,2014-02-28 14:40:26,2014-04-25,3.0,,,,,11,11,37,,,,,,,,,3in x 2in 16 Gauge,0.0,1.0,1.0,WWF
402,Welded Wire - Vinyl PVC Coated ,welded-wire-vinyl-pvc-coated-48in-x-50ft-3in-x-2in-16-gauge-black,,,Black,WW32165048BK ,0.0,WW321648V,,,,40.8,,,25.0,1,48in x 50ft,,,,13.0,0,13,,,,,8853x2black.jpg,,,,1.0,2010-03-26 07:23:03,2013-05-02 10:08:41,2014-04-25,32.0,,,,,12,12,48,,,,,,,,,3in x 2in 16 Gauge,0.0,1.0,1.0,WWF
