"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"543","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated",NULL,,,"AFCHWCVC","1",,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","1",,NULL,NULL,NULL,"0","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","1","2010-03-30 07:33:47","2010-03-30 07:33:47","0000-00-00",NULL,,,,,,,,,,,,,NULL,,NULL,,"0","0",,"WWF"
"545","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-24in-x-25ft-1/2in-x-1/2in-19-gauge-green",NULL,NULL,"Green","WW15192524GR","0","WW551924V",NULL,NULL,NULL,"23.60",NULL,NULL,"12.00","1","24in x 25ft",NULL,NULL,NULL,"4","0","4",NULL,NULL,NULL,,"mesh-size-12x12-19Gauge-hardware-cloth_vinyl.png",NULL,NULL,NULL,"0","2010-03-30 07:37:53","2024-10-10 09:11:54","2015-03-12","70",NULL,,,,"9","9","25",,,,NULL,NULL,"1/2 x 1/2, welded wire, 24 x 25, 19 gauge, green, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",NULL,"High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
"552","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-36in-x-25ft-1/2in-x-1/2in-19-gauge-green",NULL,NULL,"Green","WW15192536GR","0","WW551936V",NULL,NULL,NULL,"35.80",NULL,NULL,"17.00","1","36in x 25ft",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"38415x1516hwcg.gif",NULL,NULL,NULL,"0","2010-03-30 09:26:55","2015-04-24 09:44:15","2014-04-25","39",NULL,,,,"9","9","37",,,,NULL,NULL,"1/2 x 1/2, welded wire, 36 x 25, 19 gauge, green, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",NULL,"High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
"553","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-48in-x-25ft-1/2in-x-1/2in-19-gauge-green",NULL,NULL,"Green","WW15192548GR","0","WW551948V",NULL,NULL,NULL,"46.40",NULL,NULL,"22.00","1","48in x 25ft",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"68215x1516hwcg.gif",NULL,NULL,NULL,"0","2010-03-30 09:28:04","2015-04-24 09:44:52","2014-04-25","39",NULL,,,,"9","9","49",,,,NULL,NULL,"1/2 x 1/2, welded wire, 48 x 25, 19 gauge, green, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",NULL,"High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
"554","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-24in-x-25ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW15192524BK","0","WW551924V",NULL,"0.00","0.00","22.00","0.00","0.00","12.00","1","24in x 25ft",NULL,NULL,NULL,"0","0","0",NULL,"0",NULL,NULL,"891443halfinchbk.gif",NULL,NULL,"0","0","2010-03-30 09:29:43","2015-04-24 09:33:27","2023-06-30","39",,,,,"9","9","25",,,,,,"1/2 x 1/2, welded wire, 24 x 25, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1/2in x 1/2in 19 Gauge","0","1",,"WWF"
"555","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-36in-x-25ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW15192536BK","0","WW551936V",NULL,"0.00","0.00","35.80","0.00","0.00","17.00","1","36in x 25ft",NULL,NULL,NULL,"0","0","0",NULL,"0",NULL,NULL,"624443halfinchbk.gif",NULL,NULL,"0","0","2010-03-30 09:30:55","2015-04-24 09:34:00","2023-06-30","39",,,,,"9","9","37",,,,,,"1/2 x 1/2, welded wire, 36 x 25, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1/2in x 1/2in 19 Gauge","0","1",,"WWF"
"556","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-48in-x-25ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW15192548BK","0","WW551948V",NULL,"0.00","0.00","40.00","0.00","0.00","22.00","1","48in x 25ft",NULL,NULL,NULL,"0","0","0",NULL,"0",NULL,NULL,"443halfinchbk.gif",NULL,NULL,"0","0","2010-03-30 09:31:54","2015-04-24 09:34:51","2023-06-30","39",,,,,"9","9","49",,,,,,"1/2 x 1/2, welded wire, 48 x 25, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1/2in x 1/2in 19 Gauge","0","1",,"WWF"
"43077","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-24in-x-100ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW151910024BK","0","WW551924V",NULL,"0.00","41.67","155.00","0.00","0.00","44.00","1","24in x 100ft",NULL,NULL,NULL,"192","209","-17",NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","1",NULL,"2023-10-18 13:36:11","2023-06-30","57",,,,,"10","10","25",,,,,,"1/2 x 1/2, welded wire, 24 x 100, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
"43076","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-72in-x-50ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW15195072BK","0","WW551972V",NULL,"0.00","49.65","200.00","0.00","0.00","67.00","1","72in x 50ft",NULL,NULL,NULL,"124","166","-42",NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","1",NULL,"2023-12-13 10:29:42","2023-06-30","57",,,,,"8","8","73",,,,,,"1/2 x 1/2, welded wire, 72 x 50, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
"43075","Hardware Cloth - Vinyl PVC Coated","hardware-cloth-vinyl-pvc-coated-60in-x-50ft-1/2in-x-1/2in-19-gauge-black",NULL,NULL,"Black","WW15195060BK","0","WW551960V",NULL,"0.00","41.45","170.00","0.00","0.00","55.00","1","60in x 50ft",NULL,NULL,NULL,"208","336","-128",NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","1",NULL,"2023-10-18 13:41:12","2023-06-30","57",,,,,"8","8","61",,,,,,"1/2 x 1/2, welded wire, 60 x 50, 19 gauge, black, mesh fence, hardware cloth, color mesh fence, vinyl/galvanized, GAW, GBW","1/2in x 1/2in 19 Gauge","High quality welded wire on sale now!","1/2in x 1/2in 19 Gauge","0","1","1","WWF"
