"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"520","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-12in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015012BK","0","AFCHXNVC",NULL,"0.00","0.00","80.00","0.00",NULL,"18.00","1","12in x 150ft",NULL,NULL,NULL,"210","210","0",NULL,"0",NULL,,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:32:32","2024-12-05 12:33:06","2023-06-30","70",NULL,,,,"10","10","24",,,,NULL,,"1 inch hex, welded wire, 12 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","2","WWF"
"521","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-18in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015018BK","0","AFCHXNVC",NULL,"0.00","110.00","80.00","0.00",NULL,"22.00","1","18in x 150ft ",NULL,NULL,NULL,"94","94","0",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:34:13","2024-12-05 12:33:37","2023-06-30","70",NULL,,,,"12","12","20",,,,NULL,,"1 inch hex, welded wire, 18 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"522","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-24in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015024BK","0","AFCHXNVC",NULL,"0.00","0.00","90.00","0.00",NULL,"26.00","1","24in x 150ft",NULL,NULL,NULL,"78","78","0",NULL,"0",NULL,NULL,"840803hnbk.gifmesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:36:29","2024-12-05 12:34:04","2023-06-30","70",NULL,,,,"12","12","26",,,,NULL,,"1 inch hex, welded wire, 24 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"523","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-36in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015036BK","0","AFCHXNVC",NULL,"0.00","0.00","1400.00","0.00",NULL,"47.00","1","36in x 150ft",NULL,NULL,NULL,"58","58","0",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:41:29","2024-12-05 12:34:57","2023-06-30","70",NULL,,,,"12","12","37",,,,NULL,,"1 inch hex, welded wire, 36 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"524","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-48in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015048BK","0","AFCHXNVC",NULL,"0.00","0.00","150.00","0.00",NULL,"64.00","1","48in x 150ft",NULL,NULL,NULL,"91","91","0",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:43:10","2024-12-05 12:35:25","2023-06-30","70",NULL,,,,"12","12","49",,,,NULL,,"1 inch hex, welded wire, 48 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"525","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-60in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015060BK","0","AFCHXNVC",NULL,"0.00","0.00","200.00","0.00",NULL,"81.00","1","60in x 150ft",NULL,NULL,NULL,"73","73","0",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:44:37","2024-12-05 12:35:55","2023-06-30","70",NULL,,,,"10","10","61",,,,NULL,,"1 inch hex, welded wire, 60 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"526","Hex Netting - Vinyl PVC Coated","hex-netting-vinyl-pvc-coated-72in-x-150ft-1in-20-gauge-black",NULL,NULL,"Black","WW12015072BK","0","AFCHXNVC",NULL,"0.00","0.00","225.00","0.00",NULL,"96.00","1","72in x 150ft",NULL,NULL,NULL,"45","45","0",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:50:36","2024-12-05 12:36:20","2023-06-30","70",NULL,,,,"12","12","73",,,,NULL,,"1 inch hex, welded wire, 72 x 150, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"527","Hex Netting - Deer Fence","hex-netting-deer-fence-90in-x-100ft-1in-20-gauge-black-vinyl-pvc-coated",NULL,NULL,"Black - Vinyl PVC Coated ","WW12010090BK","0","AFCHXNVC",NULL,"0.00","0.00","300.00","0.00",NULL,"96.00","1","90in x 100ft",NULL,NULL,NULL,"188","225","-37",NULL,"0",NULL,NULL,"mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 12:52:21","2022-12-06 09:44:41","2023-06-30","57",NULL,,,,"12","12","92",,,,NULL,,"1 inch hex, welded wire, 90 x 100, 20 gauge, black, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"530","Hex Netting - Galvanized","hex-netting-galvanized-12in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015012","0","AFCGHN",NULL,"0.00","0.00","55.00","0.00",NULL,"13.00","1","12in x 150ft",NULL,NULL,NULL,"5","5","0",NULL,"0",NULL,NULL,"824mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:20:29","2024-09-30 14:42:13","2023-06-30","70",NULL,,,,"11","11","14",,,,NULL,,"1 inch hex, welded wire, 12 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"531","Hex Netting - Galvanized","hex-netting-galvanized-18in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015018","0","AFCGHN",NULL,"0.00","0.00","110.00","0.00",NULL,"18.00","1","18in x 150ft",NULL,NULL,NULL,"23","23","0",NULL,"0",NULL,NULL,"851mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:33:20","2024-09-30 14:42:31","2023-06-30","70",NULL,,,,"11","11","21",,,,NULL,,"1 inch hex, welded wire, 18 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"532","Hex Netting - Galvanized","hex-netting-galvanized-24in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015024","0","AFCGHN",NULL,"0.00","0.00","100.00","0.00",NULL,"24.00","1","24in x 150ft ",NULL,NULL,NULL,"16","16","0",NULL,"0",NULL,NULL,"138mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:39:55","2024-09-30 14:42:40","2023-06-30","70",NULL,,,,"11","11","26",,,,NULL,,"1 inch hex, welded wire, 24 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"533","Hex Netting - Galvanized","hex-netting-galvanized-36in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015036","0","AFCGHN",NULL,"0.00","0.00","140.00","0.00",NULL,"34.00","1","36in x 150ft",NULL,NULL,NULL,"14","15","-1",NULL,"0",NULL,NULL,"137mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:45:17","2024-09-30 14:42:48","2023-06-30","70",NULL,,,,"11","11","49",,,,NULL,,"1 inch hex, welded wire, 36 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"534","Hex Netting - Galvanized","hex-netting-galvanized-48in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015048","0","AFCGHN",NULL,"0.00","0.00","180.00","0.00",NULL,"45.00","1","48in x 150ft ",NULL,NULL,NULL,"16","16","0",NULL,"0",NULL,NULL,"518mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:47:45","2024-09-30 14:42:55","2023-06-30","70",NULL,,,,"11","11","50",,,,NULL,,"1 inch hex, welded wire, 48 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"535","Hex Netting - Galvanized","hex-netting-galvanized-60in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized ","WW12015060","0","AFCGHN",NULL,"0.00","0.00","220.00","0.00",NULL,"56.00","1","60in x 150ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"377mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 13:50:46","2024-09-30 14:43:02","2023-06-30","70",NULL,,,,"8","8","60",,,,NULL,,"1 inch hex, welded wire, 60 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"536","Hex Netting - Galvanized","hex-netting-galvanized-72in-x-150ft-1in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW12015072","0","AFCGHN",NULL,"0.00","0.00","260.00","0.00",NULL,"66.00","1","72in x 150ft ",NULL,NULL,NULL,"19","19","0",NULL,"0",NULL,NULL,"227mesh_size-1_hex-20_Gauge-vinyl-coated-hex_netting-chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 14:04:41","2024-09-30 14:43:09","2023-06-30","70",NULL,,,,"13","13","72",,,,NULL,,"1 inch hex, welded wire, 72 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","1in 20 Gauge ","0","1","1","WWF"
"537","Hex Netting - Galvanized","hex-netting-galvanized",NULL,NULL,NULL,"AFCGHN2","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 14:35:57","2010-03-29 14:35:57","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"WWF"
"538","Hex Netting - Galvanized","hex-netting-galvanized-24in-x-150ft-2in-20-gauge-galvanized",NULL,NULL,"Galvanized ","WW22015024","0","AFCGHN",NULL,"0.00","0.00","120.00","0.00",NULL,"12.00","1","24in x 150ft",NULL,NULL,NULL,"20","20","0",NULL,"0",NULL,NULL,"102mesh_size-2_hex-20_Gauge-galvanized-hex-netting_chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 14:39:20","2024-09-30 14:46:28","2023-06-30","70",NULL,,,,"8","8","24",,,,NULL,,"2 inch hex, welded wire, 24 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in 20 Gauge ","0","1","1","WWF"
"539","Hex Netting - Galvanized","hex-netting-galvanized-36in-x-150ft-2in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW22015036","0","AFCGHN",NULL,"0.00","0.00","125.00","0.00",NULL,"16.00","1","36in x 150ft ",NULL,NULL,NULL,"13","13","0",NULL,"0",NULL,NULL,"800mesh_size-2_hex-20_Gauge-galvanized-hex-netting_chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 14:42:51","2024-09-30 14:46:38","2023-06-30","70",NULL,,,,"8","8","36",,,,NULL,,"2 inch hex, welded wire, 36 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in 20 Gauge ","0","1","1","WWF"
"540","Hex Netting - Galvanized","hex-netting-galvanized-48in-x-150ft-2in-20-gauge-galvanized",NULL,NULL,"Galvanized ","WW22015048","0","AFCGHN",NULL,"0.00","0.00","145.00","0.00",NULL,"22.00","1","48in x 150ft",NULL,NULL,NULL,"12","12","0",NULL,"0",NULL,NULL,"140mesh_size-2_hex-20_Gauge-galvanized-hex-netting_chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 14:45:07","2024-09-30 14:46:47","2023-06-30","70",NULL,,,,"8","8","48",,,,NULL,,"2 inch hex, welded wire, 48 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in 20 Gauge ","0","1","1","WWF"
"541","Hex Netting - Galvanized","hex-netting-galvanized-60in-x-150ft-2in-20-gauge-galvanized",NULL,NULL,"Galvanized","WW22015060","0","AFCGHN",NULL,"0.00","0.00","160.00","0.00",NULL,"27.00","1","60in x 150ft ",NULL,NULL,NULL,"10","10","0",NULL,"0",NULL,NULL,"389mesh_size-2_hex-20_Gauge-galvanized-hex-netting_chicken-wire.png",NULL,NULL,NULL,"1","2010-03-29 14:47:35","2024-09-30 14:46:58","2023-06-30","70",NULL,,,,"8","8","60",,,,NULL,,"2 inch hex, welded wire, 60 x 150, 20 gauge, mesh fence, galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in 20 Gauge ","0","1","1","WWF"
