product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
42140,Premium Hardwire Cloth - GAW,hardware-cloth-–-galvanized-after-welding-18in-x-100ft-1/2in-x-1/2in-16-gauge-galvanized,NULL,NULL,Galvanized,WWS151610018,NULL,AFCWWSWG,NULL,NULL,103.12,153.91,NULL,NULL,84,1,18in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in 16 Gauge,NULL,1,1,WWF
42141,Premium Hardwire Cloth - GAW,hardware-cloth-–-galvanized-after-welding-24in-x-100ft-1/2in-x-1/2in-16-gauge-galvanized,NULL,NULL,Galvanized,WWS151610024,NULL,AFCWWSWG,NULL,NULL,139.65,208.43,NULL,NULL,112,1,24in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in 16 Gauge,NULL,1,1,WWF
42142,Premium Hardwire Cloth - GAW,hardware-cloth-–-galvanized-after-welding-48in-x-100ft-1/2in-x-1/2in-16-gauge-galvanized,NULL,NULL,Galvanized,WWS151610048,NULL,AFCWWSWG,NULL,NULL,294,438.8,NULL,NULL,220,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in 16 Gauge,NULL,1,1,WWF
42176,Premium Vinyl Coated Hardwire Cloth -  GBW,premium-vinyl-coated-hardwire-cloth-gbw-12in-x-100ft-1/2in-x-1/2in-16-gauge-black,NULL,NULL,Black,WWS151610012BK,NULL,AFCWWSBK,NULL,NULL,99.12,147.94,NULL,NULL,62,1,12in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in  16 Gauge,NULL,1,1,WWF
42177,Premium Vinyl Coated Hardwire Cloth -  GBW,premium-vinyl-coated-hardwire-cloth-gbw-18in-x-100ft-1/2in-x-1/2in-16-gauge-black,NULL,NULL,Black,WWS151610018BK,NULL,AFCWWSBK,NULL,NULL,149.1,222.53,NULL,NULL,94,1,18in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in  16 Gauge,NULL,1,1,WWF
42178,Premium Vinyl Coated Hardwire Cloth -  GBW,premium-vinyl-coated-hardwire-cloth-gbw-24in-x-100ft-1/2in-x-1/2in-16-gauge-black,NULL,NULL,Black,WWS151610024BK,NULL,AFCWWSBK,NULL,NULL,198.45,296.19,NULL,NULL,124,1,24in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in  16 Gauge,NULL,1,1,WWF
42179,Premium Vinyl Coated Hardwire Cloth -  GBW,premium-vinyl-coated-hardwire-cloth-gbw-48in-x-100ft-1/2in-x-1/2in-16-gauge-black,NULL,NULL,Black,WWS151610048BK,NULL,AFCWWSBK,NULL,NULL,395.85,590.81,NULL,NULL,248,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2in x 1/2in  16 Gauge,NULL,1,1,WWF
42189,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-18in-x-100ft-1in-x-1in-14-gauge-black,NULL,NULL,Black,WWS111410018BK,NULL,AFCWWSBK,NULL,NULL,90.3,134.77,NULL,NULL,71,1,18in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  14 Gauge,NULL,1,1,WWF
42190,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-24in-x-100ft-1in-x-1in-14-gauge-black,NULL,NULL,Black,WWS111410024BK,NULL,AFCWWSBK,NULL,NULL,119.7,178.65,NULL,NULL,93,1,24in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  14 Gauge,NULL,1,1,WWF
42191,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-36in-x-100ft-1in-x-1in-14-gauge-black,NULL,NULL,Black,WWS111410036BK,NULL,AFCWWSBK,NULL,NULL,179.55,267.98,NULL,NULL,138,1,36in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  14 Gauge,NULL,1,1,WWF
42192,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-48in-x-100ft-1in-x-1in-14-gauge-black,NULL,NULL,Black,WWS111410048BK,NULL,AFCWWSBK,NULL,NULL,239.4,357.3,NULL,NULL,183,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  14 Gauge,NULL,1,1,WWF
42193,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-24in-x-100ft-1in-x-1in-12.5-gauge-black,NULL,NULL,Black,WWS111210024BK,NULL,AFCWWSBK,NULL,NULL,143.85,214.7,NULL,NULL,143,1,24in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  12.5 Gauge,NULL,1,1,WWF
42194,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-36in-x-100ft-1in-x-1in-12.5-gauge-black,NULL,NULL,Black,WWS111210036BK,NULL,AFCWWSBK,NULL,NULL,215.25,321.26,NULL,NULL,214,1,36in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  12.5 Gauge,NULL,1,1,WWF
42195,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-48in-x-100ft-1in-x-1in-12.5-gauge-black,NULL,NULL,Black,WWS111210048BK,0,AFCWWSBK,NULL,NULL,286.65,427.84,NULL,NULL,284,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,2013-02-13 08:55:20,0000-00-00,32,NULL,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,1in x 1in  12.5 Gauge,0,1,1,WWF
42196,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-60in-x-100ft-1in-x-1in-12.5-gauge-black,NULL,NULL,Black,WWS111210060BK,NULL,AFCWWSBK,NULL,NULL,359.1,535.96,NULL,NULL,352,1,60in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in  12.5 Gauge,NULL,1,1,WWF
42213,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-28in-x-100ft-2in-x-4in-11-gauge-black,NULL,NULL,Black,WWS241110028BK,NULL,AFCWWSBK,NULL,NULL,130,194.03,NULL,NULL,103,1,28in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42214,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-36in-x-100ft-2in-x-4in-11-gauge-black,NULL,NULL,Black,WWS241110036BK,NULL,AFCWWSBK,NULL,NULL,164.3,245.22,NULL,NULL,131,1,36in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42215,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-48in-x-100ft-2in-x-4in-11-gauge-black,NULL,NULL,Black,WWS241110048BK,NULL,AFCWWSBK,NULL,NULL,218,325.37,NULL,NULL,173,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42216,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-28in-x-100ft-2in-x-4in-11-gauge-green,NULL,NULL,Green,WWS241110028GR,NULL,AFCWWSGR,NULL,NULL,130,194.03,NULL,NULL,51,1,28in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42217,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-36in-x-100ft-2in-x-4in-11-gauge-green,NULL,NULL,Green,WWS241110036GR,NULL,AFCWWSGR,NULL,NULL,164.3,245.22,NULL,NULL,72,1,36in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42218,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-48in-x-100ft-2in-x-4in-11-gauge-green,NULL,NULL,Green,WWS241110048GR,NULL,AFCWWSGR,NULL,NULL,218,325.37,NULL,NULL,87,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in  11 Gauge,NULL,1,1,WWF
42220,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-6in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS1515121006BK,NULL,AFCWWSBK,NULL,NULL,36.83,54.97,NULL,NULL,32,1,6in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42221,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-7.5in-x-100-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS1515121007BK,NULL,AFCWWSBK,NULL,NULL,46.04,68.71,NULL,NULL,38,1,7.5in x 100,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42222,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-10.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210010BK,NULL,AFCWWSBK,NULL,NULL,64.27,95.92,NULL,NULL,51,1,10.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42223,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-12in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210012BK,NULL,AFCWWSBK,NULL,NULL,66.03,98.55,NULL,NULL,58,1,12in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42224,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-13.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210013BK,NULL,AFCWWSBK,NULL,NULL,74.29,110.88,NULL,NULL,64,1,13.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42225,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-15in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210015BK,NULL,AFCWWSBK,NULL,NULL,82.52,123.16,NULL,NULL,69,1,15in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42226,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-16.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210016BK,NULL,AFCWWSBK,NULL,NULL,90.81,135.53,NULL,NULL,77,1,16.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42227,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-18in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210018BK,NULL,AFCWWSBK,NULL,NULL,99.03,147.8,NULL,NULL,82,1,18in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42228,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-19.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210019BK,NULL,AFCWWSBK,NULL,NULL,118.33,176.61,NULL,NULL,93,1,19.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42229,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-21in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210021BK,NULL,AFCWWSBK,NULL,NULL,127.03,189.59,NULL,NULL,98,1,21in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42230,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-22.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210022BK,NULL,AFCWWSBK,NULL,NULL,130.98,195.49,NULL,NULL,106,1,22.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42231,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-24in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210024BK,NULL,AFCWWSBK,NULL,NULL,132.04,197.07,NULL,NULL,114,1,24in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42232,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-36in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210036BK,NULL,AFCWWSBK,NULL,NULL,192.45,287.23,NULL,NULL,162,1,36in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42233,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-43.5in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210043BK,NULL,AFCWWSBK,NULL,NULL,232.52,347.04,NULL,NULL,193,1,43.5in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42234,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-48in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210048BK,0,AFCWWSBK,NULL,NULL,256.09,382.21,NULL,NULL,214,1,48in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,2013-11-26 11:27:12,0000-00-00,3,NULL,,,,16,16,49,,,,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,0,1,1,WWF
42235,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-54in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210054BK,NULL,AFCWWSBK,NULL,NULL,275.48,411.15,NULL,NULL,256,1,54in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42236,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-57in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210057BK,NULL,AFCWWSBK,NULL,NULL,290.79,434,NULL,NULL,259,1,57in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42237,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-60in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210060BK,NULL,AFCWWSBK,NULL,NULL,306.09,456.84,NULL,NULL,270,1,60in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
42238,Premium Vinyl Coated Welded Wire -  GAW,premium-vinyl-coated-welded-wire-gaw-63in-x-100ft-1-1/2in-x-1-1/2in-12.5-gauge-black,NULL,NULL,Black,WWS15151210063BK,NULL,AFCWWSBK,NULL,NULL,321.4,479.69,NULL,NULL,292,1,63in x 100ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 1-1/2in  12.5 Gauge,NULL,1,1,WWF
