"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"364","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-12.5-gauge-black",NULL,NULL,"Black","WW241210048BK","0","WW241248V",NULL,"0.00","0.00","260.00","0.00","0.00","106.00","1","48in x 100ft",NULL,NULL,NULL,"63","63","0",NULL,"0",NULL,NULL,"mesh-size-2x4-12.5_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 11:44:11","2024-09-30 09:07:37","2023-06-29","70",,"15","49","1","18","18","49",,,,,,"2 x 4, welded wire, 48 x 100, 12.5 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 12.5 Gauge","0","1","1","WWF"
"365","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-12.5-gauge-green",NULL,NULL,"Green","WW241210048GR","0","WW241248V",NULL,NULL,NULL,"152.50",NULL,NULL,"106.00","1","48in x 100ft ",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,"mesh-size-2x4-12.5_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-25 11:50:02","2024-09-30 11:04:31","2014-09-22","70",NULL,,,,"11","11","49",,,,NULL,NULL,"2 x 4, welded wire, 48 x 100, 12.5 gauge, green, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",NULL,"High quality welded wire on sale now! ","2in x 4in 12.5 Gauge","0","1","1","WWF"
"366","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW24145048BK","0","WW241448V",NULL,"0.00","30.07","100.00","0.00","0.00","33.00","1","48in x 50ft",NULL,NULL,NULL,"25","25","0",NULL,"0",NULL,NULL,"947mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 12:01:34","2024-09-30 09:08:22","2023-06-29","70",,,,,"11","11","49",,,,,"2 x 4 Welded Wire","2 x 4, 48 X 50, welded wire, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1",,"WWF"
"367","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-60in-x-50ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW24145060BK","0","WW241460V",NULL,"0.00","30.02","125.00","0.00","0.00","40.00","1","60in x 50ft ",NULL,NULL,NULL,"73","73","0",NULL,"0",NULL,NULL,"386mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 12:30:04","2024-09-30 09:09:37","2023-06-29","70",,,,,"10","10","61",,,,,,"2 x 4, 60 X 50, 14 gauge. welded wire, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","2in x 4in 14 Gauge","0","1",,"WWF"
"368","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-72in-x-50ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW24145072BK","0","WW241472V",NULL,"0.00","36.13","155.00","0.00","0.00","52.00","1","72in x 50ft",NULL,NULL,NULL,"48","48","0",NULL,"0",NULL,NULL,"760mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 12:35:06","2024-09-30 09:09:44","2023-06-29","70",,,,,"10","10","73",,,,,,"2 x 4, welded wire, 72 x 50, 14 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1",,"WWF"
"371","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-36in-x-100ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW241410036BK","0","WW241436V",NULL,"0.00","36.73","140.00","0.00","0.00","48.00","1","36in x 100ft",NULL,NULL,NULL,"79","80","-1",NULL,"0",NULL,NULL,"987mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 13:54:27","2024-09-30 09:09:50","2023-06-29","70",,,,,"15","15","37",,,,,,"2 x 4, welded wire, 36 x 100, 14 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1",,"WWF"
"372","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW241410048BK","0","WW241448V",NULL,"0.00","48.19","180.00","0.00","0.00","72.00","1","48in x 100ft",NULL,NULL,NULL,"355","355","0",NULL,"0",NULL,NULL,"53mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-25 14:27:33","2024-09-30 09:03:32","2023-06-29","70",,,,,"15","15","49",,,,,,"2 x 4, welded wire, 48 x 100, 14 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"379","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-60in-x-100ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW241410060BK","0","WW241460V",NULL,"0.00","59.99","200.00","0.00","0.00","80.00","1","60in x 100ft",NULL,NULL,NULL,"132","132","0",NULL,"0",NULL,NULL,"120mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-26 06:13:47","2024-09-30 09:10:02","2023-06-29","70",,,,,"15","15","61",,,,,,"2 x 4, welded wire, 60 x 100, 14 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GB",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1",,"WWF"
"380","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-72in-x-100ft-2in-x-4in-14-gauge-black",NULL,NULL,"Black","WW241410072BK","0","WW241472V",NULL,"0.00","71.65","240.00","0.00","0.00","98.00","1","72in x 100ft ",NULL,NULL,NULL,"49","49","0",NULL,"0",NULL,NULL,"611mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,"0","1","2010-03-26 06:16:09","2024-09-30 09:10:09","2023-06-29","70",,,,,"15","15","74",,,,,,"2 x 4, welded wire, 72 x 100, 14 gauge, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","0",,"WWF"
"381","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-36in-x-50ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW24145036GR","0","WW241436V",NULL,"0.00","0.00","60.00","0.00",NULL,"24.00","1","36in x 50ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"830mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:18:55","2024-09-30 09:10:15","2015-03-12","70",NULL,,,,"11","11","37",,,,NULL,,"2 x 4, welded wire, 36 x 50, 14 gauge, green mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"382","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW24145048GR","0","WW241448V",NULL,"0.00","0.00","130.00","0.00",NULL,"33.00","1","48in x 50ft",NULL,NULL,NULL,"-1","0","-1",NULL,"0",NULL,NULL,"902mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:21:36","2024-09-30 09:10:21","2015-03-12","70",NULL,,,,"15","15","49",,,,NULL,,"2 x 4, welded wire, 48 x 50, 14 gauge, green, mesh fence, color mesh fence, vinyl/galvanized, GAW, GB",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"383","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-60in-x-50ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW24145060GR","0","WW241460V",NULL,"0.00","0.00","95.00","0.00",NULL,"40.00","1","60in x 50ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"181mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:23:27","2024-09-30 09:10:28","2014-12-04","70",NULL,,,,"10","10","61",,,,NULL,,"2 x 4, welded wire, 60 x 50, 14 gauge, green, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"384","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-72in-x-50ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW24145072GR","0","WW241472V",NULL,"0.00","0.00","110.00","0.00",NULL,"48.00","1","72in x 50ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"332mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:25:37","2024-09-30 09:10:36","2015-03-12","70",NULL,,,,"10","10","72",,,,NULL,,"2 x 4, welded wire, 72 x 50, 14 gauge, green, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"385","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-36in-x-100ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW241410036GR","0","WW241436V",NULL,"0.00","0.00","141.00","0.00",NULL,"48.00","1","36in x 100ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"594mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:30:20","2024-09-30 09:10:48","2014-12-05","70",NULL,,,,"15","15","37",,,,NULL,,NULL,,NULL,"2in x 4in 14 Gauge","0","1","1","WWF"
"386","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-green",NULL,NULL,"Green","WW241410048GR","0","WW241448V",NULL,"0.00","0.00","125.00","0.00",NULL,"72.00","1","48in x 100ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"154mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:31:57","2024-09-30 09:10:55","2015-03-12","70",NULL,,,,"12","12","49",,,,NULL,,"2 x 4, welded wire, 48 x 100, 14 gauge, green, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"387","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-50ft-2in-x-4in-14-gauge-brown",NULL,NULL,"Brown","WW24145048BR","0","WW241448V",NULL,"0.00","0.00","130.00","0.00",NULL,"33.00","1","48in x 50ft",NULL,NULL,NULL,NULL,"0","0",NULL,"0",NULL,NULL,"59mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:45:01","2024-09-30 09:11:10","2016-11-02","70",NULL,,,,"11","11","49",,,,NULL,,"2 x 4, welded wire, 48 x 50, 14 gauge, brown, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"388","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-brown",NULL,NULL,"Brown","WW241410048BR","0","WW241448V",NULL,"59.00","59.00","220.00","0.00",NULL,"72.00","1","48in x 100ft",NULL,NULL,NULL,"85","85","0",NULL,"0",NULL,NULL,"986mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"1","2010-03-26 06:47:47","2024-12-04 16:13:14","2019-11-25","69",NULL,,,,"15","15","49",,,,NULL,,"2 x 4, welded wire, 48 x 100, 14 gauge, brown, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"389","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-2in-x-4in-14-gauge-white",NULL,NULL,"White","WW241410048WH","0","AFCWW2X4",NULL,"0.00","59.00","220.00","110.00",NULL,"72.00","1","48in x 100ft",NULL,NULL,NULL,"78","78","0",NULL,"0",NULL,NULL,"249mesh-size-2x4-14_Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"1","2010-03-26 06:49:16","2024-12-04 16:17:08","2019-11-25","69",NULL,,,,"15","15","49",,,,NULL,,"2 x 4, welded wire, 48 x 100, 14 gauge, white, mesh fence, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now! ","2in x 4in 14 Gauge","0","1","1","WWF"
"390","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-14-gauge-black",NULL,NULL,"Black","WW111410048BK","0","WW111448V",NULL,"0.00","114.13","450.00","0.00",NULL,"172.00","0","48in x 100ft",NULL,NULL,NULL,"13","13","0",NULL,"0",NULL,NULL,"2851x1-14Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"1","2010-03-26 06:52:50","2024-12-05 11:38:46","2023-06-30","70",NULL,"0.00","0.00","0.00","0.00",".0.00","0.00","0.00","0.00",,NULL,,"1 x 1, welded wire, 48 x 100, 14 gauge, mesh fence, black, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","1in x 1in 14 Gauge","0","1",NULL,"WWF"
"391","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-100ft-1in-x-1in-14-gauge-green",NULL,NULL,"Green","WW111410048GR","0","WW111448V",NULL,"0.00","0.00","490.00","0.00",NULL,"172.00","0","48in x 100ft",NULL,NULL,NULL,NULL,"1","-1",NULL,"0",NULL,NULL,"5481x1-14Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"0","2010-03-26 06:54:56","2024-09-30 09:13:36","2015-03-12","70",NULL,,,,"15","15","49",,,,NULL,,"1 x 1, welded wire, 48 x 100, 14 gauge, mesh fence, green, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","1in x 1in 14 Gauge","0",NULL,NULL,"WWF"
"392","Welded Wire - Vinyl PVC Coated ","welded-wire-vinyl-pvc-coated-48in-x-50ft-1in-x-1in-16-gauge-black",NULL,NULL,"Black","WW11165048BK","0","WW111648V",NULL,"0.00","0.00","125.00","0.00",NULL,"62.00","1","48in x 50ft ",NULL,NULL,NULL,"124","124","0",NULL,"0",NULL,NULL,"3301x1-16Gauge-vinyl_coated_welded_wire.png",NULL,NULL,NULL,"1","2010-03-26 06:58:46","2024-12-05 11:53:30","2024-05-28","70",NULL,,,,"11","11","49",,,,NULL,,"1 x 1, welded wire, 48 x 50, 16 gauge, mesh fence, black, color mesh fence, vinyl/galvanized, GAW, GBW",,"High quality welded wire on sale now!","1in x 1in  16 Gauge","0","1",NULL,"WWF"
