product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
40626,Welded Wire Single Swing Gate Kit,welded-wire-gate-kit-4ft-h-x-3ft-w-galvanized,NULL,NULL,Galvanized,AFSWGK43,0,AFCWWGATE4,NULL,0,0,195,0,0,55,0,4ft x 3ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40627,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK44,0,AFCWWGATE4,NULL,0,0,200,0,0,55,0,4ft x 4ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40628,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK45,0,AFCWWGATE4,NULL,0,0,225,0,0,60,0,4ft x 5ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40629,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK53,0,AFCWWGATE5,NULL,0,0,210,0,0,65,0,5ft x 3ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40630,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK54,0,AFCWWGATE5,NULL,0,0,225,0,0,70,0,5ft x 4ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40631,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK55,0,AFCWWGATE5,NULL,0,0,240,0,0,80,0,5ft x 5ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40632,Welded Wire Single Swing Gate Kit,NULL,NULL,,Galvanized,AFSWGK63,0,AFCWWGATE6,NULL,0,0,265,0,0,90,0,6ft x 3ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40633,Welded Wire Single Swing Gate Kit,welded-wire-single-swing-gate-6ft-h-x-4ft-w-galvanized,NULL,NULL,Galvanized,AFSWGK65,0,AFCWWGATE6,NULL,0,0,280,0,0,90,0,6ft x 4ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,2013-10-29 14:55:26,0000-00-00,3,,,,,3,61,73,,,,,,NULL,,NULL,,0,0,,WWGK
40634,Welded Wire Single Swing Gate Kit,welded-wire-single-swing-gate-6ft-h-x-5ft-w-galvanized,NULL,NULL,Galvanized,AFSWGL66,0,AFCWWGATE6,NULL,0,0,295,0,0,90,0,6ft x 5ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,2013-10-29 14:55:53,0000-00-00,3,,,,,3,61,73,,,,,,NULL,,NULL,,0,0,,WWGK
40799,Welded Wire Double Swing Gate Kit,welded-wire-gate-kit-4ft-h-x-6ft-w-galvanized,NULL,,Galvanized,AFSWGK46,0,AFCWWGATE26,NULL,0,0,345,0,0,120,0,4ft x 6ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40800,Welded Wire Double Swing Gate Kit,welded-wire-gate-kit-4ft-h-x-8ft-w-galvanized,NULL,,Galvanized,AFSWGK48,0,AFCWWGATE26,NULL,0,0,365,0,0,125,0,4ft x 8ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
40801,Welded Wire Double Swing Gate Kit,welded-wire-gate-kit-4ft-h-x-10ft-w-galvanized,NULL,,Galvanized,AFSWGK410,0,AFCWWGATE26,NULL,0,0,390,0,0,130,0,4ft x 10ft,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,WWGK
