product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
500,Rustic Split Two 2 Rail Post & Rail,rustic-split-two-2-rail-post-and-rail-3ft-h,NULL,,NULL,AFCWFPR2R,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3ft H,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-03-29 10:32:20,2010-03-29 10:32:20,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
501,Rustic Split Three 3 Rail Post & Rail,rustic-split-three-3-rail-post-and-rail-4ft-h,NULL,,NULL,AFCWFPR3R,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4ft H,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-03-29 10:33:06,2010-03-29 10:33:06,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2611,Rustic Split Post and Rail - 2 Rail Section,rustic-split-post-and-rail-2-rail-section-3ft-h-natural,NULL,NULL,Natural,AWFRS2R1P2,0,AFCWFPR2R,NULL,NULL,NULL,37,NULL,NULL,70,0,3ft H,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,329post_and_rail_2_rail_thumb.gif,249PR2R.jpg,NULL,NULL,NULL,1,2010-04-23 09:47:39,2014-02-21 12:39:41,0000-00-00,3,"--RAIL--,AWFRS2RAIL2,--POSTS--,AWFRS2LP,AWFRS2EP,AWFRS2CP,--SINGLE GATE - (includes hardware)--,SGRSR336,SGRSR348,SGRSR360,--DOUBLE GATE - (includes hardware)--,DGRSR372,DGRSR396,DGRSR3120,--ACCESSORIES--,AWFHL8,AWFPPH",,,,,,,,,,"ww241410096bk,ww241410036gr,ww32165036bk",NULL,NULL,NULL,NULL,,0,NULL,NULL,NULL
2612,2 Hole Line Post,2-hole-extra-line-post-6-feet-long-72in-locust,NULL,NULL,Locust - Galv Stapled,AWFRS2LP,0,,NULL,0,0,18,0,0,40,0,72in Long,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,2010-04-23 09:49:04,2010-04-23 09:49:04,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
2613,Single Split Rail - Jumbo,single-split-rail-jumbo-132in-long-hemlock/spruce,NULL,NULL,Hemlock/Spruce ,AWFRS2RAIL2,0,,NULL,0,0,12,0,0,25,0,132in Long,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,2010-04-23 09:55:52,2013-11-16 09:44:50,0000-00-00,3,,,,,,,,,,,,,NULL,,NULL,,0,0,,
2614,2 Hole End Post,2-hole-extra-end-post-6-feet-long-72in-locust,NULL,NULL,Locust - Galv Stapled,AWFRS2EP,0,,NULL,0,0,18,0,0,40,0,72in Long,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,2010-04-23 10:06:38,2010-04-23 10:06:38,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
2615,2 Hole Corner Post,2-hole-extra-corner-post-6-feet-long-72in-locust,NULL,NULL,Locust - Galv Stapled,AWFRS2CP,0,,NULL,0,0,18,0,0,40,0,72in Long,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,2010-04-23 10:07:57,2010-04-23 10:07:57,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
2616,Rustic Split Post and Rail - 3 Rail Section,rustic-split-post-and-rail-3-rail-section-4ft-h,NULL,NULL,NULL,AWFRS3R1P3,0,AFCWFPR3R,NULL,NULL,NULL,47,NULL,NULL,80,0,4ft H,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,378post_and_rail_3_rail_thumb.gif,717DSC00026.JPG,NULL,NULL,NULL,1,2010-04-23 10:10:00,2014-02-21 12:40:07,0000-00-00,3,"--RAIL--,AWFRSRAIL3,--POSTS--,AWFRS3LP,AWFRS3EP,AWFRS3CP,--SINGLE GATE - (includes hardware)--,SGRSR436,SGRSR448,SGRSR460,--DOUBLE GATE - (includes hardware)--,DGRSR472,DGRSR496,DGRSR4120,--ACCESSORIES--,AWFHL8,AWFPPH",,,,,,,,,,"ww241410096bk,ww241410048br,ww1541410048bk",NULL,NULL,NULL,NULL,,0,NULL,NULL,NULL
2617,3 Hole Corner Post,3-hole-extra-corner-post-7-feet-long-84-locust,NULL,NULL,Locust - Galv Stapled,AWFRS3CP,0,,NULL,0,0,18,0,0,43,0,84in Long,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,2010-04-23 10:13:14,2010-04-23 10:13:14,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
2618,3 Hole Line Post,3-hole-extra-line-post-7-feet-long-84-locust,NULL,NULL,Locust - Galv Stapled,AWFRS3LP,0,,NULL,0,0,18,0,0,43,0,84in Long,NULL,NULL,NULL,-4,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,2010-04-23 10:14:25,2010-04-23 10:14:25,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
