"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"496","Wood Fence Solid Board ","wood-fence-solid-board",NULL,,NULL,"AFCSB","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:27:48","2010-03-29 10:27:48","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2793","Solid Board Sections","solid-board-sections",NULL,,NULL,"AFCSBS","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-04-26 08:20:56","2010-04-26 08:20:56","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2796","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-3ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSTSE36",NULL,"AFCSBSESOT",NULL,NULL,NULL,"60.00",NULL,NULL,"55.00","0","3ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"98450SB_SE_SOT_SKETCH.jpg","334solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-26 08:22:31","2010-04-26 08:22:31","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE336,SGSBSOTSE342,SGSBSOTSE348,SGSBSOTSE360,SGSBSOTSE372,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE372,DGSBSOTSE396,DGSBSOTSE3120,DGSBSOTSE3144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3024","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-3.5ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE42",NULL,"AFCSBSESOT",NULL,NULL,NULL,"60.00",NULL,NULL,"55.00","0","3.5ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"48750SB_SE_SOT_SKETCH.jpg","689solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:28:53","2010-04-27 06:28:53","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE4236,SGSBSOTSE4242,SGSBSOTSE4248,SGSBSOTSE4260,SGSBSOTSE4272,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE4272,DGSBSOTSE4296,DGSBSOTSE42120,DGSBSOTSE42144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"42",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3025","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-4ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE48",NULL,"AFCSBSESOT",NULL,NULL,NULL,"60.00",NULL,NULL,"60.00","0","4ft H x 8ft W ",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"6550SB_SE_SOT_SKETCH.jpg","5solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:29:55","2010-04-27 06:29:55","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE436,SGSBSOTSE442,SGSBSOTSE448,SGSBSOTSE460,SGSBSOTSE472,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE472,DGSBSOTSE496,DGSBSOTSE4120,DGSBSOTSE4144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"48",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3026","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-4.5ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE54",NULL,NULL,NULL,NULL,NULL,"60.00",NULL,NULL,"60.00","0","4.5ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"36450SB_SE_SOT_SKETCH.jpg","802solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:30:46","2010-04-27 06:30:46","0000-00-00",NULL,NULL,"96",NULL,"54",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3027","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-5-ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE60",NULL,"AFCSBSESOT",NULL,NULL,NULL,"80.00",NULL,NULL,"65.00","0","5 ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"20450SB_SE_SOT_SKETCH.jpg","363solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:33:34","2010-04-27 06:33:34","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE536,SGSBSOTSE542,SGSBSOTSE548,SGSBSOTSE560,SGSBSOTSE572,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE572,DGSBSOTSE596,DGSBSOTSE5120,DGSBSOTSE5144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"60",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3028","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-6ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE72",NULL,"AFCSBSESOT",NULL,NULL,NULL,"98.00",NULL,NULL,"85.00","0","6ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"62550SB_SE_SOT_SKETCH.jpg","721solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:34:30","2013-07-08 13:57:02","0000-00-00","3","--FLAT POSTS - 4in x 4in--,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE636,SGSBSOTSE642,SGSBSOTSE648,SGSBSOTSE660,SGSBSOTSE672,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE672,DGSBSOTSE696,DGSBSOTSE6120,DGSBSOTSE6144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"72",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3030","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-7ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE84",NULL,"AFCSBSESOT",NULL,NULL,NULL,NULL,NULL,NULL,"90.00","0","7ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"1650SB_SE_SOT_SKETCH.jpg","482solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:35:19","2010-04-27 06:35:19","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE736,SGSBSOTSE742,SGSBSOTSE748,SGSBSOTSE760,SGSBSOTSE772,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE772,DGSBSOTSE796,DGSBSOTSE7120,DGSBSOTSE7144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"84",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3031","Solid Board Section-SOT-Slant Ear","solid-board-section-sot-slant-ear-8ft-h-x-8ft-w-cedar-wood",NULL,NULL,"Cedar Wood","SBSOTSE96",NULL,"AFCSBSESOT",NULL,NULL,NULL,NULL,NULL,NULL,"100.00","0","8ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"86250SB_SE_SOT_SKETCH.jpg","795solid_board_de_300.jpg",NULL,NULL,NULL,"1","2010-04-27 06:36:35","2010-04-27 06:36:35","0000-00-00",NULL,"--FLAT POSTS - 4in x 4in--,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSBSOTSE836,SGSBSOTSE842,SGSBSOTSE848,SGSBSOTSE860,SGSBSOTSE872,--DOUBLE GATE - (includes hardware)--,DGSBSOTSE872,DGSBSOTSE896,DGSBSOTSE8120,DGSBSOTSE8144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"96",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
