"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"488","Spaced Pickett 2 1/2in Standard DES","spaced-pickett-2-1/2in-standard-des",NULL,NULL,NULL,"AFCSP214SDES","1",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:15:12","2022-02-17 11:37:04","0000-00-00","57",NULL,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,,"0",NULL,NULL,NULL
"489","Spaced Pickett 2 1/2 Standard Dog Ear","spaced-pickett-2-1/4-standard-dog-ear",NULL,,NULL,"AFCSP214SDE","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:17:05","2010-03-29 10:17:05","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"490","Spaced Pickett 2 1/2 Standard Flat ","spaced-pickett-2-1/4-standard-flat",NULL,,NULL,"AFCSP214SF","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:19:43","2010-03-29 10:19:43","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"491","Spaced Pickett 2 1/2 Standard Gothic Point ","spaced-pickett-2-1/4-standard-gothic-point",NULL,,NULL,"AFCSP214SGP","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:20:35","2010-03-29 10:20:35","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"492","Spaced Pickett 2 1/2 Standard Knob Top ","spaced-pickett-2-1/4-standard-knob-top",NULL,,NULL,"AFCSP214SKT","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:21:26","2010-03-29 10:21:26","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"493","Spaced Pickett 13/4 Pool Code French Gothic ","spaced-pickett-13/4-pool-code-french-gothic",NULL,,NULL,"AFCSP134PCFG","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:24:18","2010-03-29 10:24:18","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"494","Spaced Pickett 1Inch ","spaced-pickett-1inch",NULL,,NULL,"AFCSP1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:25:09","2010-03-29 10:25:09","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"495","Spaced Pickett 3 1/2 ","spaced-pickett-3-1/2",NULL,,NULL,"AFCSP312","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2010-03-29 10:25:40","2010-03-29 10:25:40","0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"41361","Single Gate Spaced Picket 1 3/4 Concave FG","single-gate-spaced-picket-1-3/4-concave-fg-7ft-h-x-5ft-w-100percent-cedar",NULL,NULL,"100% Cedar","SGSPPCCFG760",NULL,NULL,NULL,NULL,NULL,"195.00",NULL,NULL,"55.00","0","7ft H x 5ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"41358","Single Gate Spaced Picket 1 3/4 Concave FG","single-gate-spaced-picket-1-3/4-concave-fg-7ft-h-x-3ft-w-100percent-cedar",NULL,NULL,"100% Cedar","SGSPPCCFG736",NULL,NULL,NULL,NULL,NULL,"175.00",NULL,NULL,"40.00","0","7ft H x 3ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
