"product_id","product_name","seo_name","desc_short","desc_long","color","item_no","master_model","parent","cat_id_fk","list","cost","price","ws_price","ex_price","weight_lbs","shipable","size","size_ln","size_wt","size_ht","inv_stocked","inv_eastorange","inv_orange","inv_processing","inv_ordered","inv_ordered_expect","img_small","img_large","supplier","ext_domain","featured","enabled","creation","modified","inv_mod","mod_by","product_assoc","alt_length","alt_width","alt_height","ship_length","ship_width","ship_height","nominal_length","nominal_width","nominal_height","product_relatives","meta_title","meta_keywords","add_keywords","meta_description","display_size_2","free_shipping","special_shipping","amount_per_box","class"
"2606","Stockade 3/4 in #1 Grade ","stockade-3/4-in-1-grade-4ft-h-x-8ft-w-spruce",NULL,NULL,"Spruce","AFCSKS48",NULL,"AFCSTOCK",NULL,NULL,"37.00","46.00",NULL,NULL,"60.00","0","4ft H x 8ft W ",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"10124stockade_thumb.gif","930415stockade_sm.jpg",NULL,NULL,NULL,"1","2010-04-22 13:55:12","2013-04-10 10:24:37","0000-00-00","32","--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSKSOTFT436,SGSKSOTFT442,SGSKSOTFT448,SGSKSOTFT460,SGSKSOTFT472,--DOUBLE GATE - (includes hardware)--,DGSKSOTFT472,DGSKSOTFT496,DGSKSOTFT4120,DGSKSOTFT4144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"48",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2607","Stockade 3/4 in #1 Grade","stockade-3/4-in-1-grade-5ft-h-x-8ft-w-spruce",NULL,NULL,"Spruce","AFCSKS60",NULL,"AFCSTOCK",NULL,NULL,"40.00","50.00",NULL,NULL,"75.00","0","5ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"414124stockade_thumb.gif","404415stockade_sm.jpg",NULL,NULL,NULL,"1","2010-04-22 13:56:33","2013-04-10 10:24:53","0000-00-00","32","--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSKSOTFT536,SGSKSOTFT542,SGSKSOTFT548,SGSKSOTFT560,SGSKSOTFT572,--DOUBLE GATE - (includes hardware)--,DGSKSOTFT572,DGSKSOTFT596,DGSKSOTFT5120,DGSKSOTFT5144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"60",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2608","Stockade 3/4 in #1 Grade","stockade-3/4-in-1-grade-6ft-h-x-8ft-w-spruce",NULL,NULL,"Spruce","AFCSKS72",NULL,"AFCSTOCK",NULL,NULL,"47.00","54.00",NULL,NULL,"95.00","0","6ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"124stockade_thumb.gif","415stockade_sm.jpg",NULL,NULL,NULL,"1","2010-04-22 13:57:31","2013-04-10 10:25:12","0000-00-00","32","--FLAT POSTS - 4in x 4in--,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSKSOTFT636,SGSKSOTFT642,SGSKSOTFT648,SGSKSOTFT660,SGSKSOTFT672,--DOUBLE GATE - (includes hardware)--,DGSKSOTFT672,DGSKSOTFT696,DGSKSOTFT6120,DGSKSOTFT6144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",NULL,"72",NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2609","Stockade 3/4 in #1 Grade","stockade-3/4-in-1-grade-8ft-h-x-8ft-w-spruce",NULL,NULL,"Spruce","AFCSKS96","0","AFCSTOCK",NULL,NULL,"65.00","90.00",NULL,NULL,"135.00","0","8ft H x 8ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"153124stockade_thumb.gif","876415stockade_sm.jpg",NULL,NULL,NULL,"1","2010-04-22 14:00:22","2013-10-24 13:02:38","0000-00-00","3","--FLAT POSTS - 4in x 4in--,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE - (includes hardware)--,SGSKSOTFT836,SGSKSOTFT842,SGSKSOTFT848,SGSKSOTFT860,SGSKSOTFT872,--DOUBLE GATE - (includes hardware)--,DGSKSOTFT872,DGSKSOTFT896,DGSKSOTFT8120,DGSKSOTFT8144,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH","96",,"96",,,,,,,NULL,NULL,NULL,NULL,NULL,,"0",NULL,NULL,NULL
"16326","Single Gate Stockade SOT ","single-gate-stockade-sot-3ft-h-x-3ft-w-100percent-cedar",NULL,NULL,"100% Spruce","SGSKSOTFT336",NULL,NULL,NULL,NULL,NULL,"165.00",NULL,NULL,"55.00","0","3ft H x 3ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16327","Single Gate Stockade SOT ","single-gate-stockade-sot-3ft-h-x-3-1/2-w-100percent-cedar",NULL,NULL,"100% Spruce","SGSKSOTFT342",NULL,NULL,NULL,NULL,NULL,"165.00",NULL,NULL,"55.00","0","3ft H x 3 1/2 W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16328","Single Gate Stockade SOT ","single-gate-stockade-sot-3ft-h-x-4ft-w-100percent-cedar",NULL,NULL,"100% Spruce","SGSKSOTFT348",NULL,NULL,NULL,NULL,NULL,"165.00",NULL,NULL,"55.00","0","3ft H x 4ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16329","Single Gate Stockade SOT ","single-gate-stockade-sot-3ft-h-x-5ft-w-100percent-cedar",NULL,NULL,"100% Spruce","SGSKSOTFT360",NULL,NULL,NULL,NULL,NULL,"185.00",NULL,NULL,"55.00","0","3ft H x 5ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16330","Single Gate Stockade SOT ","single-gate-stockade-sot-3ft-h-x-6ft-w-100percent-cedar",NULL,NULL,"100% Spruce","SGSKSOTFT372",NULL,NULL,NULL,NULL,NULL,"200.00",NULL,NULL,"55.00","0","3ft H x 6ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16331","Double Gate Stockade SOT ","double-gate-stockade-sot-3ft-h-x-6-ft-w-100percent-cedar",NULL,NULL,"100% Spruce","DGSKSOTFT372",NULL,NULL,NULL,NULL,NULL,"365.00",NULL,NULL,"55.00","0","3ft H x 6ft W",NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,"0000-00-00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
