product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
503,Wood Fence Tongue & Groove Lattice ,wood-fence-tongue-and-groove-lattice,NULL,,,AFCWFTGL,1,,NULL,0,0,0,0,0,0,0,,NULL,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,2010-03-29 10:35:56,2010-03-29 10:35:56,0000-00-00,NULL,,,,,,,,,,,,,NULL,,NULL,,0,0,,
504,Wood Fence Tongue & Groove Diamond Top,wood-fence-tongue-and-groove-diamond-top,"Academy's Diamond Top 100% white cedar is hand made with 1"" x 4"" white cedar boards, with a nice tongue and groove construction. Appearance is the same on both sides.","Academy's Diamond Top 100% white cedar is hand made with 1"" x 4"" white cedar boards, with a nice tongue and groove construction. Appearance is the same on both sides.",NULL,AFCWFTGDT,1,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,,NULL,0,0,NULL,NULL,0000-00-00 00:00:00,,,0,0,NULL,1,2010-03-29 10:36:45,2010-03-29 10:36:45,0000-00-00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
505,Wood Fence Tongue & Groove Solid 6 ft x 8ft,wood-fence-tongue-and-groove-solid-6-ft-x-8ft,NULL,,NULL,AFCWFTGS,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-03-29 10:37:22,2010-03-29 10:37:22,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1962,Lattice Top Decorative Fence Section ,lattice-top-decorative-fence-section-4ft-h-x-8ft-w-cedar-wood,NULL,NULL,Cedar Wood,AWFLT4,0,AFCWFTGL,NULL,0,0,162,0,0,100,0,4ft H x 8ft W,NULL,2,NULL,0,0,0,NULL,0,NULL,926786lattice_top_thumb.gif,115lattice_top_300.jpg,NULL,NULL,0,1,2010-04-20 10:03:19,2010-04-20 10:03:19,0000-00-00,NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG4X36STG,WG4X42STG,WG4X48STG,WG4X60STG,WG4X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)--,DG4X72STG,DG4X96STG,DG4X120STG,DG4X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,,48,,,,,,,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",,NULL,"Wood Fencing, Lattice Top Fencing",NULL,,0,0,,
2598,Lattice Top Decorative Fence Section,lattice-top-decorative-fence-section-5-ft-h-x-8ft-w-100percent-cedar,NULL,,100% Cedar,AWFLT5,0,AFCWFTGL,NULL,0,160,162,0,0,100,0,5ft H x 8ft W,96,NULL,60,0,0,0,NULL,0,NULL,786lattice_top_thumb.gif,403lattice_top_big.jpg,NULL,NULL,0,1,2010-04-22 13:19:19,2010-04-22 13:19:19,0000-00-00,NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG5X36STG,WG5X42STG,WG5X48STG,WG5X60STG,WG5X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)--,DG5X72STG,DG5X96STG,DG5X120STG,DG5X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,,60,,,,,,,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",,NULL,,NULL,,0,0,,
2599,Lattice Top Decorative Fence Section,lattice-top-decorative-fence-section-6ft-h-x-8ft-w-100percent-cedar,NULL,NULL,100% Cedar,AWFLT6,0,AFCWFTGL,NULL,0,0,135,0,0,100,0,6ft H x 8ft W ,NULL,NULL,NULL,0,0,0,NULL,0,NULL,731786lattice_top_thumb.gif,780115lattice_top_300.jpg,NULL,NULL,0,1,2010-04-22 13:20:12,2013-07-19 12:51:25,0000-00-00,3,"--FLAT POSTS - 4in x 4in--,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG6X36STG,WG6X42STG,WG6X48STG,WG6X60STG,WG6X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)--,DG6X72STG,DG6X96STG,DG6X120STG,DG6X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,,72,,,,,,,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",,NULL,,NULL,,0,0,,
2600,Diamond Top Decorative Fence Section,diamond-top-decorative-fence-section-4ft-h-x-8ft-w-100percent-cedar,NULL,NULL,100% Cedar,AWFDT4,NULL,AFCWFTGDT,NULL,NULL,130,168,NULL,NULL,100,0,4ft H x 8ft W,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,751diamond_top_large.jpg,NULL,NULL,NULL,1,2010-04-22 13:24:23,2010-04-22 13:24:23,0000-00-00,NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG4X36STG,WG4X42STG,WG4X48STG,WG4X60STG,WG4X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)---,DG4X72STG,DG4X96STG,DG4X120STG,DG4X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2601,Diamond Top Decorative Fence Section,diamond-top-decorative-fence-section-5ft-h-x-8ft-w-100percent-cedar,NULL,NULL,100% Cedar,AWFDT5,NULL,AFCWFTGDT,NULL,NULL,160,168,NULL,NULL,100,0,5ft H x 8ft W,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-04-22 13:25:13,2010-04-22 13:25:13,0000-00-00,NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG5X36STG,WG5X42STG,WG5X48STG,WG5X60STG,WG5X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)---,DG5X72STG,DG5X96STG,DG5X120STG,DG5X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2602,Diamond Top Decorative Fence Section,diamond-top-decorative-fence-section-6ft-h-x-8ft-w-100percent-cedar,NULL,NULL,100% Cedar,AWFDT6,NULL,AFCWFTGDT,NULL,NULL,160,140,NULL,NULL,100,0,6ft H x 8ft W ,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-04-22 13:25:57,2013-04-06 07:26:45,0000-00-00,1,"--FLAT POSTS - 4in x 4in--,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG6X36STG,WG6X42STG,WG6X48STG,WG6X60STG,WG6X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)---,DG6X72STG,DG6X96STG,DG6X120STG,DG6X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2603,Tongue & Groove Solid Decorative Fence ,tongue-and-groove-solid-decorative-fence-4ft-h-x-8ft-w-100percent-cedar,NULL,NULL,100% Cedar,AWFTG4,NULL,AFCWFTGS,NULL,NULL,130,168,NULL,NULL,100,0,4ft H x 8ft W,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-04-22 13:27:45,2010-04-22 13:27:45,0000-00-00,NULL,"--FLAT POSTS - 4in x 4in--,PSFL72,PSFL84,PSFL96,PSFL108,PSFL120,--FRENCH GOTHIC POSTS - 4in x 4in--,PSFG72,PSFG84,PSFG96,PSFG108,PSFG120,--FRENCH GOTHIC POSTS - 5in x 5in--,PSFG596,PSFG5120,PSFG5144,--FLAT CAPS - 4in--,4F-P,4FD-P,VC-2,--BALL CAPS - 4in--,4B-P,4BD-P,VC-9,--PYRAMID CAPS - 4in--,4P-P,4PD-P,VC-1,--SINGLE GATE -  (includes hardware) - (variety of styles available)--,WG4X36STG,WG4X42STG,WG4X48STG,WG4X60STG,WG4X72STG,--DOUBLE GATE -  (includes hardware) - (variety of styles available)---,DG4X72STG,DG4X96STG,DG4X120STG,DG4X144STG,--ACCESSORIES--,AWFGL,AWFSH,AWFSL,AWFTH,AWFTL,AWFHL8,AWFPPH",96,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,"SPCC35,AWFTH,AWFGL,WFHWDB,SPCCP40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
