product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
147,Fence Pen Kit,fence-pen-kit-black,Quick set-up fence for Dog Pens,"<b>Features</b>
• All Inclusive
• Easy Install
• Quick Install
• Durable
• Re-Locateable
• Low Cost
• Vinyl Coated",Black,AFCFPK,1,AFCFPK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-03-24 11:42:31,2010-03-24 11:42:31,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WWF
165,50ft Fence Pen Kit,50-ft-fence-pen-kit-10ft-x-15ft-x-4ft-black,Fence pen kit that allows for 50 linear feet of containment plus 1 gate.,"Contains

1 - Roll of 2x4 mesh 4' tall x 50' long
7 - 6' Knock in posts
2 - Gaugete Posts
1 - Gaugete with hardware",Black,WW2K41450BK,NULL,AFCFPK,NULL,NULL,NULL,100,NULL,NULL,NULL,1,NULL,10',15',4',NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2010-03-24 12:18:07,2010-03-24 12:18:07,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WWF
40881,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-2in-x-4in-x-14-ga-black,NULL,NULL,Black,AFCFPK5024BK,NULL,AFCFPK50,NULL,NULL,NULL,245,NULL,NULL,130,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in x 14 Gauge,NULL,NULL,1,WWFPK
40882,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-2in-x-4in-x-14-ga-green,NULL,NULL,Green,AFCFPK5024GR,NULL,AFCFPK50,NULL,NULL,NULL,245,NULL,NULL,130,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2in x 4in x 14 Gauge,NULL,NULL,1,WWFPK
40883,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1-1/2in-x-4in-x-14-ga-black,NULL,NULL,Black,AFCFPK50154BK,NULL,AFCFPK50,NULL,NULL,NULL,120,NULL,NULL,NULL,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 4in x 14 Gauge,NULL,NULL,1,NULL
40884,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1-1/2in-x-4in-x-14-ga-green,NULL,NULL,Green,AFCFPK50154GR,NULL,AFCFPK50,NULL,NULL,NULL,120,NULL,NULL,NULL,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1-1/2in x 4in x 14 Gauge,NULL,NULL,1,NULL
40885,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1in-x-1in-x-16-ga-black,NULL,NULL,Black,AFCFPK5011BK,NULL,AFCFPK50,NULL,NULL,NULL,273,NULL,NULL,160,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in x 16 Gauge,NULL,NULL,1,WWFPK
40886,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1in-x-1in-x-16-ga-green,NULL,NULL,Green,AFCFPK5011GR,NULL,AFCFPK50,NULL,NULL,NULL,273,NULL,NULL,160,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 1in x 16 Gauge,NULL,NULL,1,WWFPK
40887,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1in-x-2in-x-14-ga-black,NULL,NULL,Black,AFCFPK5012BK,NULL,AFCFPK50,NULL,NULL,NULL,180,NULL,NULL,NULL,0,4ft x 50ft,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 2in x 14 Gauge,NULL,NULL,1,NULL
40888,50ft Fence Pen Kit,50ft-fence-pen-kit-4ft-x-50ft-1in-x-2in-x-14-ga-green,NULL,NULL,Green,AFCFPK5012GR,NULL,AFCFPK50,NULL,NULL,NULL,180,NULL,NULL,NULL,0,4ft x 50ft,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1in x 2in x 14 Gauge,NULL,NULL,1,NULL
