"id"	"name"	"color"	"item_number"	"list"	"cost"	"price"	"ws_price"	"ex_price"	"weight_lbs"	"shipable"	"free_shipping"	"special_shipping"	"amount_per_box"	"web_size"	"display_size_2"	"alt_length"	"alt_width"	"alt_height"	"ship_length"	"ship_width"	"ship_height"	"nominal_length"	"nominal_width"	"nominal_height"	"inv_stocked"	"inv_eastorange"	"inv_orange"	"inv_ordered"	"featured"	"enabled"	"associated"	"related"	"case_enabled"	"case_quantity"	"case_length"	"case_width"	"case_height"	"case_weight"	"case_price"	"container_enabled"	"container_quantity"	"container_length"	"container_width"	"container_height"	"container_weight"	"container_price"	"pallet_enabled"	"pallet_quantity"	"pallet_length"	"pallet_width"	"pallet_height"	"pallet_weight"	"pallet_price"	"truckload_enabled"	"truckload_quantity"	"truckload_length"	"truckload_width"	"truckload_height"	"truckload_weight"	"truckload_price"	"meta_title"	"add_keywords"	"master_model"	"parent"	"class"
"422"	"Galvanized Welded Wire"	""	"AFCGWW2X4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3457"	"Galvanized 3 x 2"	""	"AFCGWW3X2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3458"	"Galvanized 1 x 2"	""	"AFCGWW1X2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3459"	"Galvanized 1 X 1"	""	"AFCGWW1X1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3460"	"Galvanized 1/2 x 1"	""	"AFCGWW12X1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3358"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145036"	"0.00"	"0.00"	"60.00"	"0.00"	""	"24.00"	"1"	"0"	"1"	"1"	"36in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"10"	"10"	"36"	""	""	""	"12"	"12"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241436G"	"WWF"
"3359"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145048"	"0.00"	"0.00"	"90.00"	"0.00"	""	"33.00"	"1"	"0"	"1"	"1"	"48in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"10"	"10"	"48"	""	""	""	"25"	"25"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241448G"	"WWF"
"3360"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145060"	"0.00"	"0.00"	"95.00"	"0.00"	""	"40.00"	"1"	"0"	"1"	"1"	"60in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"12"	"12"	"60"	""	""	""	"10"	"10"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241460G"	"WWF"
"3361"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145072"	"0.00"	"0.00"	"120.00"	"0.00"	""	"48.00"	"1"	"0"	"1"	"1"	"72in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"12"	"12"	"72"	""	""	""	"6"	"12"	"-6"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241472G"	"WWF"
"3362"	"Welded Wire - Galvanized "	"Galvanized"	"WW241410036"	"0.00"	"0.00"	"120.00"	"0.00"	""	"48.00"	"1"	"0"	"1"	"1"	"36in x 100ft"	"2in x 4in 14 Gauge "	""	""	""	"14"	"14"	"36"	""	""	""	"6"	"10"	"-4"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241436G"	"WWF"
